electricity_use_kbtu,objectid,street_address,property_name,opa_account_num,postal_code,num_of_buildings,year_built,primary_prop_type_epa_calc,total_floor_area_bld_pk_ft2,portfolio_manager_id,natural_gas_use_kbtu,fuel_oil_o2_use_kbtu,steam_use_kbtu,energy_star_score,site_eui_kbtuft2,source_eui_kbtuft2,water_use_all_kgal,total_ghg_emissions_mtco2e,notes
1179528.4,3452,5000 WOODBINE AVE,Metropolitan Wynnefield,881155500,19131,1,1953,Multifamily Housing,59540,5013100,4292117.1,,,21,91.9,137.9,2295.1,358.8,
1191108.7,3454,450 DOMINO LN,Metropolitan Manayunk Hill,881079800,19128,2,1963,Multifamily Housing,72900,5013003,4042442.8,,,62,71.8,109.5,1749.6,346.8,
1200678.7,3456,135 W ALLENS LN,Houston,784003600,19119,1,1927,K-12 School,72000,3330925,7470159.4,,,17,120.4,161.3,3021.4,530,
1205229.6,3458,2901 S 10TH ST,Stella Maris Church and School,771251500,19148,2,1954,K-12 School,69630,3859497,2255400.4,,,87,49.7,88.4,397.3,253.5,
1216446.2,3463,601 W CLIVEDEN ST,601 W Cliveden St,881098700,19119,1,1938,Multifamily Housing,61508,5219024,6806278.8,,,2,130.4,178.3,3486.7,496.5,
1218294.5,3464,243 W TULPEHOCKEN ST,Manor Associates,881212500,19144,1,1930,Multifamily Housing,73605,5034040,5465101.9,,,21,90.8,129.9,3596.8,425.4,
1218680.8,3465,2603-09 N 5TH ST,Admin - Rivera Building,785547740,19133,1,1980,Office,60464,4069483,1922990.3,,,96,52,96.7,508.7,237.3,
1572416.8,3466,24-50 W RITTENHOUSE ST,Maple Village,886700900,19144,1,2002,Multifamily Housing,67900,5909686,1403978.4,,,65,43.8,94.4,1566.4,249,
1572618.1,3467,6302 OLD YORK RD,Philip Murray House II,881451120,19141,1,2005,Multifamily Housing,49928,5050012,3318728.9,,,8,98,168.7,2176.8,350.7,
1586028.3,3470,973 N 7TH ST,MT. TABOR SR. CYBER VILLAGE,886904200,19123,1,2007,Multifamily Housing,59095,5010192,22336,,,74,27.2,84.7,837.8,177.1,
1595204.2,3471,1800 S CHRISTOPHER COLUMBUS BLVD,"Betty, Inc",884004000,19148,1,1948,Non-Refrigerated Warehouse,400000,3690843,529594.8,,,100,5.3,9.5,155.4,113.1,
1601043.1,3472,4030-60 BROWN ST,Belmont,783065600,19104,1,1927,K-12 School,87000,4123939,3814849.5,,,38,62.3,103.8,704.5,380.2,
1605268.9,3473,9629 BUSTLETON AVE,9629 Bustleton,881198000,19115,1,1965,Multifamily Housing,78015,5029306,9060414.1,,,6,136.7,186.6,5100.2,659.3,
1611321.8,3474,7701 MCCALLUM ST,Star Enterprises IV,881052000,19118,17,1954,Multifamily Housing,132952,5279973,8228109.1,,,71,74,103,5403,615.8,
1634328.6,3480,238 E WYOMING AVE,Feltonville Intermediate,785531600,19120,1,1936,K-12 School,84000,3330956,3114254.6,,,80,56.5,100,1193.4,346.7,
1368808.8,3482,308-32 S 6TH ST,McCall,781518600,19106,1,1909,K-12 School,68076,3330822,7556545.1,,,10,131.1,179.7,982.9,553.2,
1369300.8,3483,5500 KINGSESSING AVE,Mitchell,786264650,19143,1,1915,K-12 School,90000,3583473,5481450.9,,,24,76.1,111.7,1308.1,443,
1370552.3,3484,601-19 FAIRMOUNT AVE,Kearny,781088800,19123,1,1922,K-12 School,61678,3330903,6123576.2,,,1,121.5,174,591.3,477.3,
1388547.5,3486,6200-08 WAYNE AVE,6200 Wayne,881211900,19144,1,1926,Multifamily Housing,71432,5544301,7926875.9,,,2,130.4,177.6,4139.7,575.1,
1389604.2,3487,701-41 N 48TH ST,Sulzberger,783707600,19139,1,1924,K-12 School,120000,3330777,7780958.6,,,30,76.4,104.4,757.6,567.4,
1398237.6,3488,6725 RIDGE AVE,Ridgeview Apartments,881087500,19128,1,1964,Multifamily Housing,77182,4995156,2860021.5,,,84,55.2,95.8,2477.6,307,
1406458.8,3491,301 S 19TH ST,The Townhouse,881021500,19103,1,1933,Multifamily Housing,78750,5033126,4780264.8,,,57,78.6,119.8,1833,409.9,
1420094.5,3493,300 BYBERRY RD,Stonebridge Condominium Association,888582201,19116,1,1965,Multifamily Housing,55000,5211022,3011224.1,,,32,80.6,138.6,3229.8,317.5,
1429385.7,3494,1508 W ALLEGHENY AVE,"Edgewood Manor Associates II, LP",886602600,19132,1,1998,Multifamily Housing,58354,5094468,821594.3,,,92,38.6,91.7,5839.9,202.2,
1492067.6,3500,2121 GLENDALE AVE,2121 Glendale,881172000,19152,1,1961,Multifamily Housing,58893,5037193,6531105.6,,,1,136.2,196,5950.8,512.4,
1492378.1,3501,3226 CLIFFORD ST,Vernon House,886652700,19121,1,2005,Multifamily Housing,55985,5935853,1847313.1,,,41,59.7,118.3,1845.2,263.7,
1493989.6,3502,9503 STATE RD,Beacon Pointe Apartments,881233101,19114,1,1980,Multifamily Housing,112921,5015305,1968880.3,,,100,30.7,59.9,3867.4,270.3,
1521671.8,3504,319 N 19TH ST,Hallahan High School,772283000,19103,1,1911,K-12 School,101640,3856406,5580202.2,,,82,69.9,104.7,1466,465.2,
1522485.6,3506,12270 TOWNSEND RD,Holts Cigar Company,884292000,19154,1,1970,Refrigerated Warehouse,50847,3879065,348904.5,,,82,36.8,101.2,841.9,187.4,
1528591.7,3508,11000 BUSTLETON AVE,Loesche,786056400,19116,1,1967,K-12 School,88000,3330725,2983560.1,,,71,51.3,90.1,1043.9,328,
1530276.2,3509,926-76 E CHELTEN AVE,Pastorius,785099400,19138,1,1967,K-12 School,75318,3337464,2933124.4,,,84,59.3,104.7,2498.7,325.5,
1535127,3511,2001 S 59TH ST,Greenway Presbyterian Apartments,881445450,19143,1,2005,Multifamily Housing,59626,4991802,1225136.6,,,59,46.3,102.4,1661.4,235.4,
1535170.4,3512,711-39 SPRING GARDEN ST,Guild House East,881420116,19123,1,1963,Multifamily Housing,66000,5250071,19613922.3,,,1,320.4,385.1,6036.3,1212.1,
1557611.1,3517,1901 TYSON AVE,Solis-Cohen,786543600,19149,1,1948,K-12 School,91000,3330766,4350441.8,,,52,64.9,103.9,2362.6,403.9,
1568956,3518,2901 PRINCETON AVE,Mayfair,786438600,19149,1,1949,K-12 School,72000,3330764,4529950.9,,,59,84.7,134.5,1330.1,414.7,
1722943,3520,2400 BENSON ST,Longwood Manor Apartments,881174500,19152,3,1963,Multifamily Housing,93400,4457866,4831760.4,,,69,70.2,112.2,5970.3,447.8,
1729884,3521,4401 CONSHOHOCKEN AVE,4401 Conshohocken,881156500,19131,1,1931,Multifamily Housing,80000,5219012,9256366.7,,,1,137.3,189.4,436.1,683.5,
997239.9,3386,2600-24 W THOMPSON ST,Morris,782565200,19121,1,1966,K-12 School,80000,3330825,3043014.7,,,67,50.5,79.1,641.5,272.3,
999472.4,3387,6445 GREENE ST,Vernon House Apartments,881103000,19119,1,1929,Multifamily Housing,91200,5016272,3633816.9,,,72,50.8,76.2,1716.7,303.9,
1006669.7,3390,900 E JOHNSON ST,Gro Marr Apartments,881094000,19138,6,1970,Multifamily Housing,55641,4457812,2855021.9,,,65,69.4,110.7,3093.4,263.3,
1015365.8,3392,3001 ROBBINS ST,Allen Ethan,786461400,19149,1,1929,K-12 School,66482,4126295,4013460.2,,,47,75.6,111.3,521.8,325.8,
1022095,3395,2746 S 9TH ST,Fell,781609400,19148,1,1924,K-12 School,61000,3330815,5380657.2,,,44,105,145.2,692.6,399.2,
1044764.6,3399,6761-63 RIDGE AVE,MFM - 6763 Ridge Ave,886810681,19128,1,1920,Multifamily Housing,34992,5943382,393000.1,,,81,41.1,105.5,1037.5,136.8,
1235860.2,3405,173-83 W ALLEGHENY AVE,Casa Caribe,881448410,19133,1,1998,Multifamily Housing,65270,4598608,1257664.3,,,72,38.2,79.7,1609.7,203.9,
1253120.5,3407,2445-63 EMERALD ST,Kensington HS Health,786121075,19125,1,2001,K-12 School,56394,3330987,1593692,,,62,50.5,99.4,292.2,223.7,
1265102.7,3409,2560 BELMONT AVE,Inglis Gardens at Belmont II,886610010,19131,1,2016,Multifamily Housing,50439,6040069,529399.3,,,80,35.6,89.8,912.2,168.5,
1313974.8,3411,1400 N AMERICAN ST,Crane Arts LLC,884588700,19122,1,1905,Office,110000,3681050,1032554.3,,,100,21.3,41.2,607.8,165.5,
1322454.7,3412,2622-46 N LAWRENCE ST,ST CHRISTOPHER'S ASSOC LP VIII,886609000,19133,1,1962,Multifamily Housing,89535,4936276,2987960.5,,,97,48.1,81.4,2969.7,305.4,
1324338.8,3413,2001 LOTT AVE,Frank,786309400,19115,1,1961,K-12 School,74500,3330768,3734904.9,,,76,67.9,108.5,1249.8,345.3,
1327476.1,3414,4433 WAYNE AVE,0542-Philadelphia - Wayne Ave.,884071500,19144,1,2009,Non-Refrigerated Warehouse,108210,3663490,155700,,,37,13.7,40,22,155.5,
1327933.3,3415,6907 MCCALLUM ST,Sedgwick Gardens INC,881102500,19119,1,1939,Multifamily Housing,48993,4457814,1453292.8,,,68,56.8,116.3,1770.7,224.5,
1337555.2,3418,2345 CASTOR AVE,25765-Philadelphia/Castor Ave OC,884193500,19134,1,2000,Non-Refrigerated Warehouse,104450,3800031,652000,,,91,19,46.8,293,183,
1338720.7,3419,1821 S 9TH ST,Southwark,781609000,19148,1,1909,K-12 School,138000,3330841,5834787.4,,,82,52,74.9,1002.2,458.4,
1340941.6,3420,1 E SUNSET AVE,Norwood-Fontbonne Academy,775537000,19118,7,1920,K-12 School,86394,3858184,1890812.5,,,85,37.4,71.7,1076.4,249.2,
1350279.2,3422,3700 MORRELL AVE,Hancock,786332800,19114,1,1967,K-12 School,66000,3408784,1356091.2,,,93,41,85.8,641.9,221.8,
1354905.2,3424,7801 BUSTLETON AVE,7801 Bustleton,881170500,19152,1,1969,Multifamily Housing,60727,5037180,6834596.6,,,2,134.9,188.2,3998.3,513.3,
1359317.9,3425,1435-45 N 26TH ST,Boone,782813600,19121,1,1963,K-12 School,56265,3599558,2492267.6,,,37,68.5,122.4,347.1,283.2,
1270090.7,3426,6714-28 LANSDOWNE AVE,Overbrook Education Center,783262225,19151,1,1915,K-12 School,55128,3330867,1356796.7,,,92,47.7,98.2,237.9,213,
1273075.2,3428,6025 E ROOSEVELT BLVD,Oakland Terrace 2012 LP,881222000,19149,1,2012,Multifamily Housing,72840,5029193,3064764.6,,,75,59.6,99.1,5294,304,
1277494.1,3429,2100 BYBERRY RD,2100 Byberry Road,884236000,19116,1,1954,Non-Refrigerated Warehouse,130500,4102725,1003305.3,,,89,17.5,38.8,99.9,195,
1278295.2,3430,300 W DUNCANNON AVE,Morrison,785177400,19120,1,1924,K-12 School,83894,3330963,6778374.8,,,14,96,132.7,859.7,501.8,
1278476.4,3431,7801 ALGON AVE,7801 Algon,881169000,19111,1,1966,Multifamily Housing,61876,5037213,6195603.5,,,3,120.8,170,3220.4,470.9,
1279997.1,3432,1900 E SERGEANT ST,Brown HA,786491000,19125,1,1959,K-12 School,67795,4123955,1871499.3,,,62,46.5,88.3,614.2,241.4,
1302923.7,3436,2951 WELSH RD,Pollock,786569600,19152,1,1962,K-12 School,73000,3330769,3804067.9,,,62,70,110.8,837.2,346.6,
1304015.6,3437,5001-35 GREENWAY AVE,Comegys,783183400,19143,1,1911,K-12 School,70644,3330786,4414797.9,,,10,81,123.6,1559.9,379.1,
1305150.1,3438,5515 WISSAHICKON AVE,Marchwood Realty Co LP,881062500,19144,1,1929,Multifamily Housing,85000,5010910,4543688.4,,,68,68.8,104.3,5909.4,386.1,
1306113.6,3439,6803-09 EMLEN ST,Pelham Court,881101500,19119,1,1911,Multifamily Housing,102796,5900094,10561849.2,,,11,115.5,143.5,4771.1,693.3,
1308511.9,3441,728-62 N 44TH ST,Washington Martha,783691500,19104,1,1930,K-12 School,71300,3330800,5106347.9,,,67,90,132.8,2857.5,416.4,
1104185.6,3442,6001 CEDAR AVE,Bryant,783087800,19143,1,1904,K-12 School,94235,4124426,6162604,,,42,77.1,105.5,998.6,449.8,
1124905.7,3443,12285 MCNULTY RD,Onyx Glentov,884292538,19154,1,1990,Non-Refrigerated Warehouse,75000,5003749,2466139.8,,,73,47.9,81.6,281.3,255.8,
1125884.9,3444,700-50 CATHEDRAL RD,Cathedral East Apartments,881088500,19128,1,1964,Multifamily Housing,92156,5140660,4742295.1,,,74,63.7,92.4,2217.7,376.8,
1786987.2,3544,400-14 W HORTTER ST,Germantown Manor,888220206,19119,1,1925,Multifamily Housing,51480,5021260,979402.5,,,33,53.7,129,907.2,250.3,
1787966.1,3545,2201-51 N 28TH ST,Wright,784615800,19132,1,1905,K-12 School,82000,3330866,2258904.5,,,51,49.4,97.4,1902.2,318.3,
1791101.8,3547,6655 MCCALLUM ST,Malvern Hall,888220042,19119,1,1925,Multifamily Housing,76568,5219699,1246282.2,,,86,39.7,90.5,1951.1,264.9,
1802065.9,3548,3921-25 CHESTNUT ST,11018 - Philadelphia Ronald McDonald House,773080515,19104,1,1885,Hotel,65186,3688012,1776683.2,,,95,54.9,115.4,1263.2,294.3,
1807509,3549,315 W JOHNSON ST,"NewCourtland Apartments at Cliveden, L.P.",886761616,19144,1,2009,Multifamily Housing,57209,5049288,1044698.5,,,37,49.9,118.4,1487,256,
1841591.2,3552,468 DOMINO LN,Green Woods Charter School,775722600,19128,1,2014,K-12 School,60000,4991720,867888.3,,,65,45.2,111.6,399.6,250.4,
2208028,3624,2118-34 W NORRIS ST,Douglas F,784321800,19121,1,1940,K-12 School,109651,3330868,7841592.9,,,25,91.7,138.3,2325.4,661.4,
1859983.6,3553,7949 RIDGE AVE,The Ridge Apartments,881090500,19128,2,1961,Multifamily Housing,116269,4998219,2484358.6,,,93,37.4,72.7,6034.1,338.3,
1865821.5,3554,601-07 CHURCH LN,Church Lane Apartments,881058000,19144,3,1963,Multifamily Housing,62040,5201806,529210.8,,,74,38.6,103.4,2360.9,235.1,
1867359.6,3555,10551 DECATUR RD,Decatur Rd,884278500,19154,1,1995,Office,118036,5018104,1432150,,,98,28,62.4,780.4,283.2,
1878646.2,3558,2901 W HUNTING PARK AVE,SHARE Community Food Resource Center,884129000,19129,1,1929,Distribution Center,133550,3963980,2229865.6,,,73,30.8,61.7,762.1,326.8,
1650569.7,3560,3001-65 N 6TH ST,Potter-Thomas,786687200,19133,1,1969,K-12 School,79933,3330894,4823487.8,,,65,81,128.2,688.3,439.3,
1661094.7,3561,4301 RIDGE AVE,Falls Ridge,886761710,19129,1,2004,Multifamily Housing,66123,5913368,1283936.4,,,83,44.5,99.3,1459.4,252.5,
1664332.7,3562,164-76 W ALLEGHENY AVE,MFM - 174 W Allegheny Ave,881448405,19133,1,1990,Multifamily Housing,67027,5050083,1508057.9,,,81,47.3,101.6,1478.2,264.7,
2082283.2,3602,5458 TACONY ST,Bridge Industrial Center Associates,884213000,19137,1,1912,Non-Refrigerated Warehouse,160000,3790288,223403.2,,,85,14.4,42.3,1809.8,242.9,
2095855.1,3603,4501-17 CHESTNUT ST,West Catholic,774569000,19139,3,1926,K-12 School,156425,3773979,6710903.9,,,89,56.3,87.1,566,588.9,
2096518.4,3604,6900 LINDBERGH BLVD,6900 Lindbergh Blvd.,884161700,19142,1,1975,Distribution Center,224684,3597393,3436083,,,86,24.6,45.4,419.3,415.1,
2097976.4,3605,1326-40 BUTTONWOOD ST,"The Mathematics, Civics and Sciences Charter School of Philadelphia, Inc.",771635115,19123,1,1925,K-12 School,59300,3975541,1309501.9,,,25,57.5,134.3,715.6,302.3,
2107873.5,3607,3255 BELGRADE ST,Nativity BVM Place,777075000,19134,1,1916,Multifamily Housing,30000,5015778,720794.8,,,3,94.3,245.9,1203.2,272.1,
2113171,3608,108 ARCH ST,(PA2407) - Old City 108 Condominiums,888036248,19106,1,2004,Multifamily Housing,66000,4803451,624205.2,,,70,41.5,110.5,1648,267.6,
2122186.5,3610,7746 DUNGAN RD,Michel's Bakery,884221900,19111,1,1964,Refrigerated Warehouse,68827,5943530,2367528.3,,,78,65.2,132.9,194.7,361.2,
2131135.2,3612,2429-65 N 8TH ST,Hartranft,785575000,19133,1,1968,K-12 School,85000,3330890,2262461.3,,,53,51.7,106.7,0.7,356.6,
2134757,3614,428-54 E ERIE AVE,Good Food Lab,884047900,19134,1,1934,Non-Refrigerated Warehouse,70483,3772933,620293.7,,,24,39.1,104.3,64.7,269.8,
2135065.8,3615,6226 ELMWOOD AVE,Morton,783130400,19142,1,1972,K-12 School,87000,3330797,3713584.6,,,38,67.2,121.9,1042.4,434.1,
2149845.6,3616,2709 COMMERCE WAY,Almo Corporation,884292580,19154,1,2001,Distribution Center,159200,3637826,2910002.7,,,88,31.8,61.6,605,393,
2159659.2,3618,1401-35 S 16TH ST,Reed Street Presbyterian Apartments,881000151,19146,1,2001,Multifamily Housing,63665,4991800,2815228.1,,,18,78.1,152.9,2521.2,389.1,
2170417.6,3620,7810-20 ALGON AVE,7810 Algon,881168000,19111,1,1940,Multifamily Housing,113256,5219003,14960516.2,,,1,151.3,198.9,11414.5,1035.4,
2185595.5,3622,5748 WILLOWS AVE,Longstreth,783588600,19143,1,1970,K-12 School,85350,3330795,2156349.7,,,72,50.9,106.9,672.7,357,
2214017.5,3625,1501-43 DIAMOND ST,Duckrey,784093000,19121,1,1968,K-12 School,101115,3330865,2865584,,,82,50.2,98.5,3219.4,397.8,
2214278.5,3626,1250 N 3RD ST,"Olde Kensington, LP",881006631,19122,1,1986,Multifamily Housing,90000,4941726,1374960.7,,,88,39.9,93.3,3520.2,318.7,
2222206.3,3627,1900 S 3RD ST,Furness HS,781458200,19148,1,1914,K-12 School,145000,3330814,9767163.8,,,72,82.7,118.8,717.9,765.3,
2229437.6,3628,615 N BROAD ST,Rodeph Shalom,771064001,19123,1,1927,Worship Facility,72000,4094880,121159.4,,,53,32.6,99,631.6,253.7,
2234263.2,3629,900-14 LINDLEY AVE,Birney,785317200,19141,1,1913,K-12 School,59200,4123962,4745002.7,,,31,117.9,202.7,1483.6,499.9,
2240455.7,3630,13109-51 BUSTLETON AVE,Somerton Court Apartments,881206510,19116,5,1974,Multifamily Housing,179718,4968648,7569685.5,,,83,54.6,83.4,7315.9,650.6,
2243216,3631,7841 RIDGE AVE,Metropolitan Roxborough,881090000,19128,2,1964,Multifamily Housing,127615,5013007,5340572.8,,,70,59.4,99.1,6068.4,532.5,
2253837.9,3633,7200 BRANT PL,UNICO Village II,881125155,19153,5,1972,Multifamily Housing,84125,4959360,7995730,,,20,121.8,183.9,2917.9,674.7,
2256716.2,3634,2143-75 E YORK ST,Hackett,786594000,19125,1,1969,K-12 School,108550,3330888,1959142.5,,,71,38.8,84.2,580.8,354.4,
2261163.4,3635,701 CATHEDRAL RD,Andorra Shopping Center-Kohl's,882116500,19128,1,1953,Retail Store,80200,3824196,128061.5,,,91,29.8,90.2,604.6,257.6,
2521477.6,3640,501-35 JACKSON ST,Jackson Place,881000110,19148,1,2004,Multifamily Housing,58639,4992132,1306185.9,,,18,65.3,158.4,1894,349.1,
2523607.3,3641,5600 OGONTZ AVE,Regency Village,881074500,19141,7,1940,Multifamily Housing,201130,4989835,22924634.5,,,24,126.5,159.1,18779.1,1497.6,
2534144.3,3642,1730 S 10TH ST,SS Neumann Goretti High School,771251200,19148,1,1955,K-12 School,271320,3892157,6983051.2,,,100,35.1,56.4,1324,652,
2538528,3643,3325 RED LION RD,LaBrum,786442010,19154,1,1974,K-12 School,44500,3330977,83760.3,,,41,58.9,181.1,279.2,286.1,
2543840.5,3644,7575 BREWSTER AVE,Warehouse - Philadelphia,884165000,19153,1,1900,Non-Refrigerated Warehouse,165000,5892957,3218000.3,,,67,34.9,68.9,175,453.1,
2547599.5,3645,314-22 N 12TH ST,Old Shoe Factory Condo Association,888057613,19107,1,1925,Multifamily Housing,63838,5510618,2358363.6,,,9,76.9,164.1,2075.3,407.9,
2616305.6,3646,1212 LUDLOW ST,Connelly House,886717500,19107,1,2010,Residence Hall/Dormitory,60000,3137016,1551763.7,,,53,69.5,164.1,2188.5,82.4,
2638758.9,3648,3600 GRAYS FERRY AVE,3600 Grays Ferry Ave (FedEx Express),884122536,19146,1,2001,Distribution Center,109979,4125760,3511050.1,,,34,55.9,108.9,253.6,479.2,
2669997.1,3650,1300-06 CHESTNUT ST,L A 1300 Chestnut Associates,881302050,19107,1,1914,Multifamily Housing,111402,5025681,348942.6,,,88,27.1,78.5,2466.8,314.7,
2677419.6,3651,6950 GERMANTOWN AVE,Germantown Apartments (202) and Cottages (811),881450000,19119,3,2006,Multifamily Housing,66032,5048472,2667253.9,,,6,80.9,169.7,5089.3,438.7,
2685421.4,3652,5501 N 11TH ST,Kiesha Merrick,NA,19141,1,2003,Multifamily Housing,73712,5024002,2555382.3,,,12,71.1,150.8,2265.1,433.6,
2695972,3655,4231-41 LOCUST ST,Fairfax Apartments,881121500,19104,1,1928,Multifamily Housing,144000,4920204,1196062.9,,,100,27,67.5,8467.1,362.6,
2700626,3657,3000 MASTER ST # C,The Lofts At Brewerytown,886906021,19121,1,2005,Multifamily Housing,131317,5145605,1054625.4,,,96,28.6,73,3168.7,355.6,
2707879.9,3659,2555 WELSH RD,Atrium Apartments,881189000,19114,1,1963,Multifamily Housing,148000,5092099,5056592.3,,,63,52.5,87.1,7226,542.9,
2708314.2,3660,204-06 S 13TH ST,Chancellor Apartments,881015000,19107,1,1920,Multifamily Housing,128337,5015250,8049987.2,,,72,83.8,132.1,6235.4,728,
2548109.9,3661,9000 TINICUM BLVD,0547-Philadelphia - Airport,883744000,19153,1,1990,Hotel,78155,3288099,1565684.4,,,69,52.6,123.4,5733.1,365.8,
2559977.9,3663,2900 BLACK LAKE PL,Elliott-Lewis Corporate HQ,884292573,19154,1,2000,Non-Refrigerated Warehouse,62000,2215089,2000380.4,,,40,73.6,163.5,267.3,390.2,
2570778.2,3664,7101 E ROOSEVELT BLVD,3527,882074000,19149,1,1980,Retail Store,70110,2344541,590100,,,83,45.1,124,193,316.5,
2582420,3667,412-30 W SUSQUEHANNA AVE,McKinley,786525600,19122,1,1970,K-12 School,74314,3330892,1021416.8,,,44,48.5,123.5,693.1,340.7,
2591921.7,3670,5118-50 N 6TH ST,Marshall T,786687225,19120,1,1997,K-12 School,114000,3330905,2241970,,,89,42.4,92,897.3,406.6,
2593611.3,3671,1010 RACE ST,(PA2492) - Bentwood Condos,888071554,19107,1,1916,Multifamily Housing,55620,4900860,1832108.4,,,29,79.6,181,3179.2,385,
2612468.1,3675,11300-50 NORTHEAST BLVD,10814 NE AVENUE,884240500,19116,1,1979,Non-Refrigerated Warehouse,217560,3952012,6248449.4,,,76,40.7,67.9,287.7,621.7,
2614917.9,3676,5116-60 PULASKI AVE,Kelly John,785401600,19144,1,1970,K-12 School,101976,3330941,3635307.2,,,68,61.3,117.9,2837.2,483.2,
2374471.2,3677,5801-51 N 5TH ST,Lowell,785548000,19120,1,1914,K-12 School,58200,3330960,4594946.3,,,22,119.7,211,980.4,507.5,
1664554.4,3563,8880 BARTRAM AVE,2526-Philadephia - Airport,883745200,19153,1,1990,Hotel,44737,3288258,593846.4,,,63,50.5,130.8,2026.2,216.2,
1668113.2,3565,6201 KEYSTONE ST,Tacony Academy Charter School,778771890,19135-3701,1,2015,K-12 School,86492,6031757,1667352.6,,,98,38.6,80.8,703.2,273.6,
1673756.6,3566,2101 GLENDALE AVE,2101 Glendale,881171500,19152,1,1965,Multifamily Housing,85253,5037203,10205416.6,,,2,139.3,187.3,5767.5,727.7,
1678431,3567,1008-20 SPRUCE ST,Strickland Condos,888052314,19107,7,1815,Multifamily Housing,79733,4992137,3678312.7,,,66,67.2,114.5,2978,381.6,
1682283.5,3568,1601 LEVICK ST,Spruance,786304600,19149,1,1950,K-12 School,102143,3330979,5681106,,,75,72.1,110.1,2512.8,488.4,
1688257.6,3571,25 N 4TH ST,Old City Presbyterian Apartments,771702500,19106,1,1970,Multifamily Housing,58000,5004467,2531441.6,,,30,72.8,137.2,2433.4,321.7,
1697139,3575,2901 WELSH RD,Fountain Gardens,881190500,19152,3,1962,Multifamily Housing,87000,4457909,2405945.5,,,92,47.2,90.3,3797.3,316.1,
1697578.5,3577,7300 TORRESDALE AVE,Saint Hubert's Catholic High School for Girls,778301000,19136,1,1924,K-12 School,163350,3892250,7239207.1,,,93,54.7,79.2,1957,572.8,
1702214,3578,3231-65 N 2ND ST,Caribe Towers,881426260,19140,1,2005,Multifamily Housing,83999,4598025,1258028.4,,,92,35.2,79.4,1608.6,255.6,
1702861,3579,4401 PAUL ST,Stearne,786424600,19124,1,1966,K-12 School,76150,3330955,2396999.3,,,64,53.8,103.3,926.5,316.2,
2291866,3583,2136 RITNER ST,GAMP,782462200,19145,1,1914,K-12 School,83460,3330827,8071246.8,,,32,124.2,187.8,1340.5,682.9,
2298896.8,3586,2100 S 58TH ST,MARY FIELD PRESBYTERIAN APARTMENTS,881125145,19143,1,1994,Multifamily Housing,112032,5004302,2975191.8,,,79,47.1,92.3,3200.6,413,
2356774.2,3596,2112-22 W VENANGO ST,Venango House,886650800,19140,1,1982,Multifamily Housing,77497,5013048,3899339.2,,,39,80.7,148.3,2521,468.6,
2364207.9,3597,739-43 S 16TH ST,Scottish Rite Tower,881000170,19146,1,1996,Multifamily Housing,69705,5003717,2954012.2,,,44,76.3,151,4037.1,419.2,
2373466.7,3598,2218-22 WALNUT ST,Roosevelt,881028510,19103,1,1915,Multifamily Housing,61520,5866183,2203792,,,33,74.4,158.8,2501.5,380.3,
2057446.2,3599,3817-39 MARKET ST,Ralston Mercy Douglass,881822820,19104,1,2000,Multifamily Housing,56784,5063279,739042.5,,,36,49.2,127.4,1729462.5,267.5,
1746446.9,3524,11451 E ROOSEVELT BLVD,United Refrigeration Inc. Warehouse 90,884268000,19154,1,1959,Distribution Center,185000,3633532,776850.2,,,93,15.4,38.6,31.9,235,
1770309.4,3525,3250 S 76TH ST,3250 S 76th St,884167500,19153,1,2007,Non-Refrigerated Warehouse,247447,5082233,2532106.6,,,93,17.4,33.2,129.4,330.9,
1879602.6,3527,600-18 N 34TH ST,Mantua Presbyterian Apartments,881812305,19104,1,2008,Multifamily Housing,60557,5019078,1657698.3,,,32,58.4,126.2,1322.6,296.6,
1893987.9,3529,303 N BROAD ST,Roman Catholic High School,771063000,19102,3,1890,K-12 School,77500,3759394,2866772.1,,,80,61.4,115.6,674.2,362.4,
1894649.8,3530,509-19 VINE ST,Boekel,881006319,19106,1,1952,Multifamily Housing,56928,5093636,582774.6,,,16,43.5,115.3,963.2,241.1,
1899627.6,3531,7600 HOLSTEIN AVE,DHL/PHL,884167016,19153,1,2005,Distribution Center,96640,3858153,5720365.3,,,44,78.8,123.9,201.9,514.6,
1916055.7,3534,5100 LEBANON AVE,Bryn Mawr Suites,881158500,19131,1,1955,Multifamily Housing,111000,4926155,8738421.3,,,35,96,136.9,6002.3,676.7,
1917491.8,3535,500-18 S 16TH ST,Independence Charter School,782671300,19146,1,1909,K-12 School,74650,4142231,30169.1,,,89,38.7,120.4,1.1,214.3,
1917573.3,3536,250 S 13TH ST,Lenox Condominiums,888072274,19107,1,1920,Multifamily Housing,79923,5016203,6085648.7,,,24,100.1,155.3,2933.8,536,
1918506.2,3538,1550 WARFIELD ST,PHPA,884124000,19146,1,1962,Non-Refrigerated Warehouse,58887,3229069,2898099.8,,,33,81.8,154,156,366.8,
1944333.7,3541,2000 S 58TH ST,ANN THOMAS PRESBYTERIAN APARTMENTS,881125140,19143,1,1991,Multifamily Housing,64872,5004296,1822662.5,,,55,58.1,123.6,2101.7,312.5,
2045035.8,3542,5624 SPRUCE ST,Hamilton,783499600,19139,1,1968,K-12 School,89500,3330790,3398741.1,,,45,60.8,111.6,547.4,407.4,
