parcelId,BuildingType,PrimaryPropertyType,LargestPropertyUseType,YearBuilt,NumberofBuildings,NumberofFloors,SourceEUI,PropertyGFATotal,ENERGYSTARScore,SiteEnergyUse,Building Description,Building Gross Sq Ft,Building Net Sq Ft,Building Number,Building Quality,Construction Class,Eff. Year,Elevators,Heating System,Number Of Buildings Aggregated,Percentage Complete,Predominant Use,Shape,Sprinklers,Stories,Year Built
1142001535,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,1963,1,4,88.90000153,34735,76,783355.125,MAVERICK APT,34735,23520,1,AVERAGE,WOOD FRAME,1995,Yes,ELECTRIC WALL,1,100,APARTMENT (300),Rect or Slight Irreg,Yes,4,1963
1142001560,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,1963,1,4,110,25568,89,705948.3125,TYEE APARTMENTS,25568,20159,1,AVERAGE,WOOD FRAME,1990,No,ELECTRIC WALL,1,100,APARTMENT (300),Rect or Slight Irreg,No,4,1963
1142001570,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,1927,1,3,80.30000305,25904,89,945745.6875,LEVERE APTS,25904,20880,1,AVERAGE/GOOD,MASONRY,1990,No,HOT WATER,1,100,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,1927
1142001770,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,1941,1,3,103.9000015,24548,85,811907.625,LEE AND LEE APARTMENTS,24548,22977,1,AVERAGE,WOOD FRAME,1989,No,ELECTRIC WALL,2,100,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,1941
1142001780,Multifamily MR (5-9),Mid-Rise Multifamily,Multifamily Housing,1970,1,9,110.5999985,71827,77,1884194.625,COLLEGE PLACE APARTMENTS,71827,45458,1,AVERAGE,REINFORCED CONCRETE,1992,No,ELECTRIC WALL,1,100,APARTMENT (300),Rect or Slight Irreg,Yes,9,1970
1145000070,Multifamily MR (5-9),Mid-Rise Multifamily,Multifamily Housing,2008,1,6,80.40000153,145350,,3897250.25,Apartment Building,145350,84445,1,GOOD,WOOD FRAME,2012,Yes,(unknown),1,100,MULTIPLE RESIDENCE (LOW RISE) (352),Long Rect or Irreg,,6,2008
1145000155,Multifamily MR (5-9),Mid-Rise Multifamily,Multifamily Housing,2004,1,7,84.80000305,169931,83,3091348.25,THE KENNEDY BUILDING,169931,96254,1,AVERAGE,REINFORCED CONCRETE,2007,Yes,FORCED AIR UNIT,1,100,MIXED USE RETAIL (830),Rect or Slight Irreg,Yes,7,2004
1145000325,Multifamily MR (5-9),Mid-Rise Multifamily,Multifamily Housing,1998,1,6,110.0999985,69452,89,2885740.5,Mixed Use Retail and 88 Apartments,112784,59670,1,GOOD,WOOD FRAME,2010,Yes,ELECTRIC,1,100,APARTMENT (300),Very Irreg,Yes,6,1998
1145000525,Multifamily MR (5-9),Mid-Rise Multifamily,Multifamily Housing,1999,1,6,75.19999695,47791,100,1144018.25,MIXED USE RETAIL AND APARTMENTS,73927,39392,1,GOOD,WOOD FRAME,2010,Yes,ELECTRIC WALL,1,100,APARTMENT (300),Long Rect or Irreg,Yes,6,1999
1160000005,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,1969,1,4,98.30000305,29683,53,957419.6875,CARIBBEAN MANOR APT'S,29683,27500,1,AVERAGE,WOOD FRAME,1992,Yes,ELECTRIC WALL,1,100,APARTMENT (300),Rect or Slight Irreg,No,4,1969
1165200000,Multifamily MR (5-9),Mid-Rise Multifamily,Multifamily Housing,2003,1,8,90.5,40791,,1731455.75,COMMERCIAL CONDO,1846,1846,1,AVERAGE/GOOD,WOOD FRAME,2003,Yes,ELECTRIC,1,100,MEDICAL OFFICE (341),Long Rect or Irreg,,1,2003
1172000025,Multifamily MR (5-9),Mid-Rise Multifamily,Multifamily Housing,1971,1,5,122.5999985,56319,49,2681050.5,LICTONWOOD APT SEATTLE HOUSING,56319,40610,1,GOOD,REINFORCED CONCRETE,2004,Yes,ELECTRIC WALL,1,100,APARTMENT (300),Rect or Slight Irreg,No,5,1971
1175000630,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,1975,1,4,63.20000076,30948,91,623322.3125,TELEMARK APTS,30948,22575,1,AVERAGE,WOOD FRAME,1995,Yes,ELECTRIC WALL,1,100,APARTMENT (300),Rect or Slight Irreg,No,4,1975
1175000904,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,1988,1,4,96.69999695,39319,68,948224.625,40 UNIT APT,39319,26035,1,AVERAGE/GOOD,WOOD FRAME,2010,Yes,ELECTRIC WALL,2,100,APARTMENT (300),Long Rect or Irreg,Yes,4,1988
1501800015,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,1984,1,4,121.5,41443,12,1604129.75,ISLAND VIEW APTS,41443,29795,1,AVERAGE,WOOD FRAME,2003,Yes,ELECTRIC WALL,1,100,APARTMENT (300),Very Irreg,No,4,1984
1508400000,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,1975,1,3,84.5,130680,7,3515821,,,,,,,,,,,,,,,,
1510600000,NonResidential,Residence Hall,Residence Hall/Dormitory,1982,0,15,51.70000076,115775,94,2882489.75,Chancery Place Apartments,115775,56860,1,GOOD,REINFORCED CONCRETE,2002,Yes,ELECTRIC,1,100,MULTIPLE RESIDENCE (SENIOR CITIZEN) (451),Rect or Slight Irreg,,15,1982
1513800009,NonResidential,Worship Facility,Worship Facility,2000,1,2,89,31386,52,1128179.125,SYNAGOGUE,31386,31386,1,GOOD,WOOD FRAME,2000,,PACKAGE UNIT,1,100,CHURCH (309),Rect or Slight Irreg,Yes,2,2000
1513800010,Campus,K-12 School,K-12 School,1989,5,3,144.8999939,21500,44,6689184,CLASSROOMS,21500,21500,1,AVERAGE,WOOD FRAME,1989,,ELECTRIC WALL,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,No,3,1989
1522500000,Multifamily MR (5-9),Mid-Rise Multifamily,Multifamily Housing,1989,1,5,92.09999847,140778,81,2834238.5,APT/CONDO,140778,74722,1,AVERAGE/GOOD,WOOD FRAME,2005,Yes,ELECTRIC,1,100,MULTIPLE RESIDENCE (LOW RISE) (352),Very Irreg,,5,1989
1525049011,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,1961,4,4,65.90000153,30834,97,606111,LAURELHURST APTS,30834,28876,1,AVERAGE/GOOD,WOOD FRAME,1989,No,ELECTRIC WALL,7,100,APARTMENT (300),Rect or Slight Irreg,No,4,1961
1532000000,Multifamily MR (5-9),Mid-Rise Multifamily,Multifamily Housing,2002,1,5,67.80000305,21536,,464720.5938,,,,,,,,,,,,,,,,
1562400000,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,1988,2,4,66.59999847,47873,32,1016146.875,,,,,,,,,,,,,,,,
1592100000,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,1985,1,4,67.69999695,39581,86,853314.5,,,,,,,,,,,,,,,,
1594000000,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,1989,1,4,70.40000153,23177,,488515.4063,,,,,,,,,,,,,,,,
1594300000,Multifamily MR (5-9),Mid-Rise Multifamily,Multifamily Housing,1991,1,5,107,54360,77,1544388.5,,,,,,,,,,,,,,,,
1595200000,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,1990,1,3,30.89999962,70207,100,702481.375,,,,,,,,,,,,,,,,
4088801740,NonResidential,Small- and Mid-Sized Office,Office,2012,1,2,149.3999939,84116,68,2641681.75,OFFICE,10480,10480,1,AVERAGE,WOOD FRAME,1975,,HOT WATER,1,100,OFFICE BUILDING (344),Rect or Slight Irreg,No,2,1934
1604500000,NonResidential,Hotel,Hotel,1925,1,9,176.6000061,104000,8,8690648,HOTEL ANDRA,116604,116604,1,GOOD/EXCELLENT,REINFORCED CONCRETE,1995,Yes,HOT WATER,1,100,"HOTEL, FULL SERVICE (841)",Approx Square,Yes,9,1925
1624049006,SPS-District K-12,K-12 School,K-12 School,1971,1,1,96.09999847,55206,75,2345752.5,SCHOOL,29310,29310,1,AVERAGE/GOOD,MASONRY,1971,,HOT WATER,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,Yes,1,1971
1624049040,NonResidential,Senior Care Community,Senior Care Community,1981,1,3,177.8000031,78374,98,3321035.75,NURSING HOME,58665,58665,1,AVERAGE,MASONRY,1974,Yes,WARMED AND COOLED AIR,1,100,CONVALESCENT HOSPITAL (313),Rect or Slight Irreg,Yes,3,1974
1324039102,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,1992,1,4,91.90000153,121037,84,2391566.25,CITY VIEW APTS,121037,75300,1,AVERAGE,WOOD FRAME,2004,Yes,ELECTRIC WALL,1,100,APARTMENT (300),Very Irreg,Yes,4,1992
1325039001,NonResidential,Mixed Use Property,Non-Refrigerated Warehouse,2007,1,2,153.8999939,38784,,1841154.25,OFF & SHOPS,8990,8990,1,LOW COST,WOOD FRAME,1970,,NO HEAT,1,100,STORAGE WAREHOUSE (406),Rect or Slight Irreg,No,2,1919
1327000000,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,1984,1,4,68.40000153,26568,98,578854.125,,,,,,,,,,,,,,,,
1327100000,Multifamily MR (5-9),Mid-Rise Multifamily,Multifamily Housing,2007,1,6,67.59999847,182494,94,5249190,CANAL STATION CONDOMINIUM,11978,11978,1,GOOD,REINFORCED CONCRETE,2007,Yes,HEAT PUMP,1,100,"CONDO, RETAIL (846)",Rect or Slight Irreg,Yes,1,2007
1327150000,Multifamily MR (5-9),Mid-Rise Multifamily,Multifamily Housing,2007,1,6,60,113462,97,2167888.25,CANAL STATION NORTH CONDOMINIUM,3760,3760,1,GOOD,REINFORCED CONCRETE,2007,Yes,HEAT PUMP,1,100,"CONDO, RETAIL (846)",Rect or Slight Irreg,Yes,1,2007
1327300004,NonResidential,Other,Social/Meeting Hall,1969,1,2,143.8999939,41790,,2177075,INDUSTRIAL/WHS/OFFICE,34654,32676,1,AVERAGE,MASONRY,1979,,FORCED AIR UNIT,1,100,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,2,1969
0939000515,NonResidential,Small- and Mid-Sized Office,Office,1900,1,5,131.8000031,39960,77,2178690.5,OFFICE BUILDING WITH RETAIL ON 1ST FLOOR,39960,34910,1,AVERAGE,MASONRY,1987,Yes,COMPLETE HVAC,1,100,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,5,1900
0939000530,NonResidential,Warehouse,Non-Refrigerated Warehouse,1900,1,5,9.5,33300,,90558.70313,MIXED USE RETAIL/WHSE,39200,36152,1,AVERAGE,MASONRY,1986,Yes,HOT WATER,1,100,MIXED USE RETAIL (830),Rect or Slight Irreg,No,6,1900
0942000120,NonResidential,Hotel,Hotel,1926,1,11,93.40000153,36240,98,2147968.25,HOTEL SEATTLE,36240,36240,1,LOW COST,REINFORCED CONCRETE,1990,Yes,STEAM WITHOUT BOILER,1,100,"HOTEL, LIMITED (332)",Rect or Slight Irreg,Yes,11,1926
0942000255,NonResidential,Other,Social/Meeting Hall,1922,1,3,136.6999969,39320,,3042875.5,PRIVATE CLUB,39320,31880,1,AVERAGE,REINFORCED CONCRETE,1969,Yes,HEAT PUMP,1,100,CLUBHOUSE (311),Rect or Slight Irreg,No,3,1922
0942000460,Multifamily MR (5-9),Mid-Rise Multifamily,Multifamily Housing,1907,1,5,64.69999695,41452,99,1606981.25,DOVER APTS,41452,32550,1,AVERAGE,MASONRY,1984,Yes,HOT WATER,1,100,APARTMENT (300),Long Rect or Irreg,Yes,5,1907
0942000530,NonResidential,Other,Performing Arts,1908,1,5,206.8000031,41536,,2735166,Former FIRST UNITED METHODIST CHURCH,41536,41536,2,GOOD,MASONRY,2017,,HOT & CHILLED WATER,1,90,"THEATER, LIVE STAGE (379)",Rect or Slight Irreg,No,5,1908
0942000555,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,1916,0,3,129.1000061,45320,57,3300549.25,Pacific Apts,45320,26240,1,AVERAGE,REINFORCED CONCRETE,1997,Yes,HOT WATER,1,100,APARTMENT (300),Rect or Slight Irreg,Yes,3,1916
0942001120,NonResidential,Hotel,Hotel,1909,1,6,155.3000031,35820,94,3321603,WORK RELEASE FACILITY,35820,31660,1,AVERAGE,MASONRY,1965,Yes,HOT WATER,1,100,GROUP CARE HOME (424),Approx Square,Yes,6,1909
0945000680,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,2003,1,4,108.9000015,42984,,1249939.25,CATE APTS-31 UNITS,42984,30297,1,AVERAGE/GOOD,WOOD FRAME,2011,Yes,ELECTRIC,1,100,APARTMENT (300),Long Rect or Irreg,Yes,4,2003
0952002500,NonResidential,K-12 School,K-12 School,1922,1,2,93.09999847,33462,76,3987215.5,SCHOOL,33462,33462,1,AVERAGE,MASONRY,1975,,HOT WATER,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,No,2,1922
0952002655,NonResidential,K-12 School,K-12 School,1965,1,3,64.40000153,49744,98,2096835.5,SCHOOL,49744,49744,1,AVERAGE,MASONRY,1975,,HOT WATER,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,No,3,1965
0952005960,NonResidential,Worship Facility,Worship Facility,1923,1,2,76.30000305,37816,60,1411305.5,CHURCH,37816,37816,1,AVERAGE,WOOD FRAME,2007,,COMPLETE HVAC,1,100,CHURCH (309),Rect or Slight Irreg,Yes,2,1923
0952006290,NonResidential,Mixed Use Property,Office,1926,0,2,185.6999969,23315,,1354000.625,RETAIL/OFFICE/RESTAURANT,23315,23315,1,AVERAGE,MASONRY,1975,,HOT WATER,1,100,RETAIL STORE (353),Rect or Slight Irreg,No,2,1926
0952006350,NonResidential,Mixed Use Property,Non-Refrigerated Warehouse,1930,1,2,299.2999878,20700,,4265815,2 RESTAURANTS/2 GYMS,20700,18948,1,LOW/AVERAGE,MASONRY,1970,,HOT WATER,1,100,RETAIL STORE (353),Rect or Slight Irreg,No,2,1930
0952006465,Multifamily MR (5-9),Mid-Rise Multifamily,Multifamily Housing,1979,1,9,115.3000031,82876,81,3093583,ALASKA HOUSE,82876,54912,1,AVERAGE,MASONRY,1996,Yes,FORCED AIR UNIT,1,100,APARTMENT (300),Very Irreg,Yes,9,1979
1333100000,Multifamily MR (5-9),Mid-Rise Multifamily,Multifamily Housing,2008,1,7,231.1999969,142099,29,14332778,Supermarket/Retail and Office Condos,177417,177417,1,GOOD,WOOD FRAME,2013,Yes,COMPLETE HVAC,1,100,"CONDO, RETAIL (846)",Rect or Slight Irreg,Yes,5,2011
0952007220,NonResidential,Other,Other - Recreation,1948,1,1,243.5,41521,,3343550,BOWLING ALLEY/RESTAURANT,41521,26241,1,LOW/AVERAGE,MASONRY,1990,,WARMED AND COOLED AIR,1,100,BOWLING ALLEY (306),Rect or Slight Irreg,No,1,1948
0952007370,NonResidential,Supermarket / Grocery Store,Supermarket/Grocery Store,1946,1,2,232.3999939,25762,100,1906384.875,GROCERY STORE,26211,15092,1,AVERAGE/GOOD,MASONRY,1995,Yes,COMPLETE HVAC,1,100,SUPERMARKET (446),Rect or Slight Irreg,No,2,1946
0952007715,Multifamily MR (5-9),Mid-Rise Multifamily,Multifamily Housing,2010,1,7,71.90000153,213016,99,5149928.5,Apartment,213016,145089,1,GOOD,WOOD FRAME,2012,Yes,ELECTRIC,1,100,APARTMENT (300),Very Irreg,Yes,7,2010
0952007845,NonResidential,Other,Fitness Center/Health Club/Gym,1984,1,1,232.3000031,33334,,6118300.5,RECREATION CENTER,60270,47785,1,AVERAGE/GOOD,MASONRY,2005,,PACKAGE UNIT,1,100,FITNESS CENTER (483),Rect or Slight Irreg,No,1,1984
0952007920,NonResidential,Small- and Mid-Sized Office,Office,1981,1,3,172,43387,60,2686765,WAREHOUSE/FOOD PROCESSING/OFFICE,49383,49383,1,AVERAGE,WOOD FRAME,1985,Yes,HEAT PUMP,1,100,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,3,1981
0952008120,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,1960,1,2,99.19999695,23983,39,908203.625,BARI APTS,23983,21905,1,AVERAGE,WOOD FRAME,1988,No,ELECTRIC WALL,1,100,MULTIPLE RESIDENCE (LOW RISE) (352),Very Irreg,No,2,1960
0952008240,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,1963,1,4,74.5,29351,80,614044.6875,FAIRWAY APARTMENTS,29351,19160,1,AVERAGE,WOOD FRAME,1990,No,ELECTRIC WALL,1,100,APARTMENT (300),Very Irreg,No,4,1963
0952008285,Multifamily MR (5-9),Mixed Use Property,Multifamily Housing,2003,1,7,119.8000031,106976,35,4358944.5,RETIREMENT FACILITY,106976,106976,1,AVERAGE,REINFORCED CONCRETE,2003,Yes,COMPLETE HVAC,1,100,MULTIPLE RESIDENCES ASSISTED LIVING (LOW RISE),Rect or Slight Irreg,Yes,7,2003
0955000005,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,1920,1,3,62.09999847,25475,86,1118772.75,ADELPHI APTS,25475,19349,1,AVERAGE,MASONRY,1975,No,HOT WATER,1,100,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,1920
0955000480,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,1968,1,3,101.4000015,40779,66,1234573.875,ELIZABETH JAMES HOUSE,40779,39801,1,AVERAGE,WOOD FRAME,1992,No,ELECTRIC WALL,1,100,MULTIPLE RESIDENCE (LOW RISE) (352),Very Irreg,No,3,1968
0976000335,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,1965,1,3,111.5,38328,69,1093724.375,The Parker - formerly Marion Robbins,38328,35880,1,AVERAGE,WOOD FRAME,1990,No,ELECTRIC WALL,1,100,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,3,1965
1453600540,NonResidential,Mixed Use Property,Supermarket/Grocery Store,1979,1,1,20.39999962,39350,,267135.0938,LINE RETAIL,39350,39350,1,AVERAGE,MASONRY,1984,,WARMED AND COOLED AIR,1,100,RETAIL STORE (353),Rect or Slight Irreg,No,1,1979
1453600660,Multifamily MR (5-9),Mid-Rise Multifamily,Multifamily Housing,2008,1,6,97,193691,,6649938,Mixed Use Apartment,193691,125160,1,AVERAGE/GOOD,WOOD FRAME,2012,Yes,ELECTRIC,1,100,MIXED RETAIL W/RES. UNITS (459),Very Irreg,Yes,6,2008
1453600740,NonResidential,Other,Other,1949,0,1,324,22405,,3498214.75,RESTAURANT & RETAIL STORE,22670,22670,1,AVERAGE,MASONRY,1985,Yes,FORCED AIR UNIT,1,100,"RESTAURANT, TABLE SERVICE (350)",Rect or Slight Irreg,Yes,1,1949
1453601041,Multifamily MR (5-9),Mid-Rise Multifamily,Multifamily Housing,1971,1,7,113.5,86283,54,3739029.75,LAKE CITY HOUSE,86283,74240,1,AVERAGE/GOOD,MASONRY,2004,No,ELECTRIC WALL,1,100,APARTMENT (300),Rect or Slight Irreg,No,7,1971
1453601220,Multifamily MR (5-9),Mid-Rise Multifamily,Multifamily Housing,2001,1,6,90.40000153,57775,,2536760.75,MIXED USE-49 units,57775,43001,1,AVERAGE/GOOD,WOOD FRAME,2011,Yes,ELECTRIC,1,100,APARTMENT (300),Very Irreg,Yes,6,2001
1453601380,Multifamily MR (5-9),Mid-Rise Multifamily,Multifamily Housing,2001,3,5,110.4000015,320739,76,9162048,SOLARA APTS + RETAIL,157185,44986,1,AVERAGE/GOOD,WOOD FRAME,2011,Yes,ELECTRIC,1,100,APARTMENT (300),Very Irreg,Yes,5,2001
1453602441,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,1986,1,3,71.59999847,67624,77,1541897.875,SPRING LAKE APTS,67624,42982,1,AVERAGE,WOOD FRAME,2001,Yes,ELECTRIC WALL,3,100,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,1986
1454100350,SPS-District K-12,Other,Other,2013,1,1,84.5,32590,,1361794.25,SCHOOL,32590,32590,1,GOOD,REINFORCED CONCRETE,1965,,HOT WATER,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,No,1,1959
1459950000,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,1978,1,4,87.40000153,73234,72,1808401.375,,,,,,,,,,,,,,,,
1472350000,Multifamily MR (5-9),Mid-Rise Multifamily,Multifamily Housing,1988,1,5,118.3000031,145018,25,2249449.75,Condo used as apartments,72509,45905,1,AVERAGE/GOOD,STRUCTURAL STEEL,2010,,ELECTRIC,1,100,APARTMENT (300),Long Rect or Irreg,Yes,5,1988
1486300005,NonResidential,Warehouse,Non-Refrigerated Warehouse,1985,1,1,92.19999695,37500,36,1811506.375,OFFICE WAREHOUSE,37500,37500,1,AVERAGE,MASONRY,1985,,HEAT PUMP,1,100,INDUSTRIAL LIGHT MANUFACTURING (494),Rect or Slight Irreg,No,1,1985
1493600000,NonResidential,Medical Office,Medical Office,1990,1,2,192.3000031,39000,25,2615247.75,CONDOMINIUM,19033,19033,1,GOOD,WOOD FRAME,1999,Yes,COMPLETE HVAC,1,100,MEDICAL OFFICE (341),Very Irreg,Yes,2,1990
1495300045,NonResidential,Other,Other - Mall,1924,1,1,492.7000122,22180,,5089083,RETAIL,22180,22180,1,LOW/AVERAGE,MASONRY,1975,,HOT WATER,1,100,RETAIL STORE (353),Rect or Slight Irreg,No,1,1924
1495300325,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,2007,1,4,78.09999847,28560,,738592,14 Unit Apt Bldg,28560,18250,1,AVERAGE,WOOD FRAME,2008,Yes,FORCED AIR UNIT,1,100,APARTMENT (300),Rect or Slight Irreg,Yes,4,2007
1496130000,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,1980,1,3,103.5,52166,28,1433573.25,,,,,,,,,,,,,,,,
1498300850,SPS-District K-12,K-12 School,K-12 School,1971,1,1,83.69999695,51704,62,1799402.75,BEACON HILL SCHOOL,47487,47487,1,AVERAGE,WOOD FRAME,1995,,FORCED AIR UNIT,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,Yes,1,1971
1498302035,NonResidential,Distribution Center,Distribution Center,1969,1,1,140.8000031,25920,,1219744.75,WAREHOUSE,25920,25920,1,AVERAGE,MASONRY,1980,,SPACE HEATERS,1,100,STORAGE WAREHOUSE (406),Rect or Slight Irreg,No,1,1969
1498302080,NonResidential,Refrigerated Warehouse,Refrigerated Warehouse,1953,1,1,91.40000153,25480,,741287.1875,WAREHOUSE,25480,25480,1,AVERAGE,MASONRY,1970,,NO HEAT,1,100,STORAGE WAREHOUSE (406),Rect or Slight Irreg,No,1,1953
1498302235,NonResidential,Warehouse,Non-Refrigerated Warehouse,1970,1,2,227.3999939,31000,,2301043.75,DISTRIBUTION WAREHOUSE,31000,31000,1,AVERAGE,MASONRY,1980,,SPACE HEATERS,1,100,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,2,1970
1498302245,NonResidential,Small- and Mid-Sized Office,Office,1961,1,1,139,29740,57,1467060.25,OFFICE/WHSE,29379,29379,1,AVERAGE,MASONRY,1989,,SPACE HEATERS,1,100,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,1,1961
1498302345,NonResidential,Distribution Center,Distribution Center,1954,1,1,39.20000076,23236,,433871,WAREHOUSE,23236,23236,1,LOW/AVERAGE,MASONRY,1980,,SPACE HEATERS,1,100,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,No,1,1954
1498302455,NonResidential,Small- and Mid-Sized Office,Office,2009,1,3,151.8000031,38075,,1921801.25,Family Services Office Building,38075,38075,1,GOOD/EXCELLENT,STRUCTURAL STEEL,2009,,COMPLETE HVAC,1,100,OFFICE BUILDING (344),Rect or Slight Irreg,,3,2009
1498303190,Multifamily MR (5-9),Mid-Rise Multifamily,Multifamily Housing,1969,1,7,103.5999985,139530,77,3944933.5,CENTER PARK APTS,139530,94500,1,AVERAGE/GOOD,MASONRY,1996,Yes,ELECTRIC WALL,2,100,APARTMENT (300),Rect or Slight Irreg,Yes,7,1969
1498303300,NonResidential,Small- and Mid-Sized Office,Office,1970,1,2,126.9000015,39170,81,2130673.75,RED CROSS,39170,39170,1,AVERAGE,REINFORCED CONCRETE,1990,,WARMED AND COOLED AIR,1,100,WAREHOUSE OFFICE (810),Rect or Slight Irreg,Yes,2,1970
1498303565,Nonresidential COS,Other,Other - Recreation,1977,0,1,68,36070,,1441665.375,TENNIS CENTER,36070,33600,1,AVERAGE,PREFAB STEEL,1977,,ELECTRIC,1,100,"TENNIS CLUB, INDOOR (416)",Rect or Slight Irreg,No,1,1977
1499000000,Multifamily MR (5-9),Mid-Rise Multifamily,Multifamily Housing,2002,1,5,95.69999695,34542,,1237655.25,CENTRE COURT APTS,34542,23589,1,AVERAGE/GOOD,WOOD FRAME,2011,Yes,ELECTRIC,1,100,APARTMENT (300),Long Rect or Irreg,Yes,5,2002
1624049229,NonResidential,Other,Other - Services,1963,1,2,18.39999962,20047,,117438.3984,SERVICE KING COLLISION REPAIR,9700,9700,1,AVERAGE,MASONRY,1990,,HEAT PUMP,1,100,"AUTO DEALERSHIP, COMPLETE (455)",Rect or Slight Irreg,No,1,1963
1624049248,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,1968,1,3,98.40000153,37080,62,1162007.625,THE CRESTVIEW,37080,31518,1,AVERAGE,WOOD FRAME,1992,No,ELECTRIC WALL,1,100,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,1968
1624049282,Multifamily LR (1-4),Low-Rise Multifamily,Multifamily Housing,2002,0,3,114.0999985,22108,47,791035.5,Apartments,22108,21772,1,AVERAGE/GOOD,WOOD FRAME,2011,,ELECTRIC,4,100,MULTIPLE RESIDENCE (LOW RISE) (352),Very Irreg,Yes,3,2002
1327300008,NonResidential,Retail Store,Retail Store,1914,1,1,87.59999847,20000,75,557863.6875,COMMERCIAL BLDG,20000,20000,1,AVERAGE,WOOD FRAME,2009,,FORCED AIR UNIT,1,100,MIXED USE RETAIL (830),Rect or Slight Irreg,No,1,1914
1327300012,NonResidential,Warehouse,Non-Refrigerated Warehouse,1955,1,2,23.89999962,32400,91,248616,URBAN AGRICULTURE,40224,40224,1,AVERAGE,WOOD FRAME,1989,No,HEAT PUMP,1,100,INDUSTRIAL LIGHT MANUFACTURING (494),Long Rect or Irreg,Yes,2,1955
1794500785,Multifamily LR (1-4),Mixed Use Property,Multifamily Housing,2008,1,4,96.69999695,84147,85,1618535.75,MIXED USE APARTMENT (SWEETBRIAR) BLDG,84147,48285,1,AVERAGE,WOOD FRAME,2008,Yes,ELECTRIC,1,100,MIXED RETAIL W/RES. UNITS (459),Very Irreg,Yes,4,2008
1794500895,NonResidential,Supermarket / Grocery Store,Supermarket/Grocery Store,1962,1,1,755.2000122,25159,38,8905287,Grocery store (Safeway # 368),25159,25159,1,AVERAGE,MASONRY,1995,,SPACE HEATERS,1,100,MARKET (340),Rect or Slight Irreg,No,1,1962
1794501111,Multifamily LR (1-4),Mixed Use Property,Multifamily Housing,2007,1,4,137.8999939,83175,89,2531163,mix use retail with apts,83175,51203,1,AVERAGE/GOOD,WOOD FRAME,2012,Yes,ELECTRIC,1,100,MIXED USE RETAIL (830),Rect or Slight Irreg,Yes,4,2007
1794501150,Nonresidential COS,Other,Other - Recreation,1948,1,1,166.5,27247,,2332996.5,PUBLIC SWIMMING POOL,13300,13300,1,GOOD,MASONRY,1984,,WARMED AND COOLED AIR,1,100,NATATORIUM (485),Rect or Slight Irreg,No,1,1974
