parcelId,BuildinDescription,ENERGYSTARScore,SiteEnergyUse,SourceEUI,PropertyGFATotal,BuildinQuality,ConstructioClass,EffYear,YearBuilt,Elevators,HeatinSystem,NumbeOBuildingAggregated,PredominanUse,Shape,Sprinklers,NumberofFloors,PredominantUseCode,HeatinSystemCode,SiteEnergyUseLog
1513800009,SYNAGOGUE,52,1128179.125,89,31386,GOOD,WOOD FRAME,18,18,,PACKAGE UNIT,1,CHURCH (309),Rect or Slight Irreg,Yes,2,309,PACKAGE UNIT,13.936115497191818
1522500000,APT/CONDO,81,2834238.5,92.09999847,140778,AVERAGE/GOOD,WOOD FRAME,13,29,Yes,ELECTRIC,1,MULTIPLE RESIDENCE (LOW RISE) (352),Very Irreg,,5,352,ELECTRIC,14.857283852360808
1562700010,Community Center,,1784385.25,177.1000061,22168,AVERAGE,MASONRY,14,118,,HEAT PUMP,1,GROUP CARE HOME (424),Rect or Slight Irreg,,3,424,HEAT PUMP,14.394584516118245
1604700000,The Claremont,,1719814.625,67.5,78005,AVERAGE/GOOD,WOOD FRAME,6,8,Yes,ELECTRIC,2,APARTMENT (300),Rect or Slight Irreg,Yes,6,300,ELECTRIC,14.357727066818578
1624049248,THE CRESTVIEW,62,1162007.625,98.40000153,37080,AVERAGE,WOOD FRAME,26,50,No,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,ELECTRIC WALL,13.965659778334599
1704900242,WHITWORTH ELEM SCHOOL,93,1633399.375,78.69999695,59955,GOOD,STRUCTURAL STEEL,29,29,,HEAT PUMP,1,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,Yes,3,365,HEAT PUMP,14.306173907268796
1722800145,WHSE/OFF,62,439065.9063,61.79999924,22320,AVERAGE,MASONRY,38,41,,SPACE HEATERS,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,No,1,407,SPACE HEATERS,12.992404809035204
1722800223,WHSE/OFFICE,,10234721,432.3999939,47105,AVERAGE,MASONRY,38,42,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,No,1,406,SPACE HEATERS,16.141296517301978
1722800585,OFFICE BLDG,67,1269367.5,146.6000061,28304,LOW COST,WOOD FRAME,48,48,,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,2,344,WARMED AND COOLED AIR,14.054029302879833
1722800620,WHSE/OFFICE,,452612.5,51.20000076,26400,AVERAGE,MASONRY,43,48,,SPACE HEATERS,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,407,SPACE HEATERS,13.02279163000612
1722800985,WAREHOUSE,,1778431.75,116,27680,AVERAGE,MASONRY,39,50,,FORCED AIR UNIT,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,1,344,FORCED AIR UNIT,14.391242494599165
1722801079,MULTI-TENANT OFFICE BLDG & WHS,,1787119,158.5,25872,LOW COST,WOOD FRAME,48,49,,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,2,344,WARMED AND COOLED AIR,14.396115383978135
1722801080,MULTI-TENANT OFFICE & WHSE,41,2399353.5,183.1999969,25872,LOW COST,WOOD FRAME,48,49,,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,2,344,WARMED AND COOLED AIR,14.690709884030213
1722801081,FLORIDA TILE,65,222600.0938,32.70000076,20500,AVERAGE,MASONRY,48,49,,SPACE HEATERS,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,No,1,407,SPACE HEATERS,12.313132139207141
1722802630,SAFETY & SUPPLY EQUIPMENT,12,1577040.875,87.19999695,30545,AVERAGE,MASONRY,53,80,,WARMED AND COOLED AIR,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,No,1,406,WARMED AND COOLED AIR,14.271060785076616
1728800030,QUALMAN APTS,42,1866460.25,96,25248,AVERAGE,MASONRY,34,111,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,HOT WATER,14.439554280565666
1728800070,PARAMOUNT APTS,93,770736.125,76.5,28380,AVERAGE,MASONRY,29,108,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,3,352,HOT WATER,13.555101343640203
1728800115,BANCROFT APTS,38,1750099.75,92.59999847,24783,AVERAGE,MASONRY,24,111,No,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,ELECTRIC WALL,14.375183344275259
1731800135,NARADA APTS,53,1349970.5,84.80000305,40572,GOOD,MASONRY,19,92,No,HOT WATER,1,APARTMENT (300),Rect or Slight Irreg,No,5,300,HOT WATER,14.115593298324006
1731800560,The Park on Highland Drive Apts.,86,1116475.125,89.09999847,26044,AVERAGE,WOOD FRAME,25,70,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,HOT WATER,13.925687070569467
1731800620,QUEEN ANNE HEIGHTS,50,1764767.25,121.9000015,36926,AVERAGE,REINFORCED CONCRETE,21,48,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,No,8,300,ELECTRIC WALL,14.383529369965578
1731800740,QUEEN VISTA APTS,86,4633186,82.69999695,91703,GOOD,REINFORCED CONCRETE,21,68,Yes,HOT WATER,1,APARTMENT (300),Rect or Slight Irreg,Yes,6,300,HOT WATER,15.348755310366075
1731800780,THE CARLYLE APT,79,1106701,77.80000305,21376,AVERAGE,WOOD FRAME,28,90,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,HOT WATER,13.91689407583971
1731800805,HILLCREST MANOR,19,1913558.375,87.09999847,28940,AVERAGE/GOOD,WOOD FRAME,24,90,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,3,352,HOT WATER,14.464475090307051
1731800825,SCHOOL,99,971990.3125,59.90000153,32691,AVERAGE/GOOD,MASONRY,16,96,,HOT WATER,1,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,Yes,3,365,HOT WATER,13.787101116829124
1731801080,WEST TOWN VIEW APTS,90,1134195.5,87.40000153,40758,AVERAGE,MASONRY,22,41,No,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,No,6,300,ELECTRIC WALL,13.94143414699997
1731801135,CHURCH,55,1086678.125,61,24227,AVERAGE/GOOD,MASONRY,30,55,,HOT WATER,1,CHURCH (309),Rect or Slight Irreg,No,2,309,HOT WATER,13.898636009097716
1731801330,QUEEN ANNE COURT APTS,92,739869.6875,67.69999695,24540,LOW/AVERAGE,WOOD FRAME,33,108,No,HOT WATER,1,APARTMENT (300),Rect or Slight Irreg,No,4,300,HOT WATER,13.514229351700312
1732300005,GALER CREST APTS & RETAIL,18,2248134.5,83,37944,AVERAGE,MASONRY,28,88,Yes,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,HOT WATER,14.625611319166772
1732801350,QUEEN VIEW APTS,99,623107.6875,30.299999239999998,28546,AVERAGE,WOOD FRAME,42,101,No,HOT WATER,1,APARTMENT (300),Rect or Slight Irreg,No,4,300,HOT WATER,13.342474635962224
1753700330,WHSE,61,651293.3125,51.70000076,27000,AVERAGE,MASONRY,38,62,,COMPLETE HVAC,1,INDUSTRIAL LIGHT MANUFACTURING (494),Rect or Slight Irreg,Yes,1,494,COMPLETE HVAC,13.38671537655609
1785500003,BROADVIEW APTS,95,613684.125,70.59999847,27296,AVERAGE,WOOD FRAME,22,42,Yes,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,ELECTRIC WALL,13.327235620354818
1794500785,MIXED USE APARTMENT (SWEETBRIAR) BLDG,85,1618535.75,96.69999695,84147,AVERAGE,WOOD FRAME,10,10,Yes,ELECTRIC,1,MIXED RETAIL W/RES. UNITS (459),Very Irreg,Yes,4,459,ELECTRIC,14.297032440457906
1794501060,MIXED USE APARTMENT-106 UNITS,100,3590731,49,233528,GOOD,REINFORCED CONCRETE,2,4,Yes,FORCED AIR UNIT,1,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,Yes,5,459,FORCED AIR UNIT,15.093866360906402
1794501111,mix use retail with apts,89,2531163,137.8999939,83175,AVERAGE/GOOD,WOOD FRAME,6,11,Yes,ELECTRIC,1,MIXED USE RETAIL (830),Rect or Slight Irreg,Yes,4,830,ELECTRIC,14.74418943887594
1797500625,TELEPHONE EXCHANGE BLDG,,6357632,407.3999939,56521,AVERAGE,REINFORCED CONCRETE,33,77,,STEAM,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,4,344,STEAM,15.665166538941357
1797501310,50 UNIT CO-OP,96,2128963.5,52.90000153,58735,GOOD,MASONRY,19,90,Yes,STEAM,1,APARTMENT (300),Rect or Slight Irreg,Yes,5,300,STEAM,14.571145799529498
1806900405,BUCKLEY APTS,82,1639849.25,73.09999847,34455,AVERAGE/GOOD,MASONRY,19,90,Yes,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Long Rect or Irreg,No,3,352,HOT WATER,14.310114874843704
1817800135,LANCASTER APTS,81,595978,75,24939,AVERAGE/GOOD,MASONRY,23,94,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,HOT WATER,13.297959032614516
1824049003,WHOLESALE WAREHOUSE,100,6522551.5,323.8999939,63225,AVERAGE,MASONRY,8,10,,COMPLETE HVAC,1,WAREHOUSE DISCOUNT STORE (458),Long Rect or Irreg,Yes,1,458,COMPLETE HVAC,15.690776191707346
1824049012,WAREHOUSE,92,243518.2031,22.5,26680,AVERAGE,MASONRY,48,63,,NO HEAT,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,407,NO HEAT,12.40294697476818
1824049044,Warehouse,6,1788148,107.4000015,31521,AVERAGE,MASONRY,40,65,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,No,1,406,SPACE HEATERS,14.39669100533923
1824049060,BUSINESS PARK,57,3459543,61,179413,AVERAGE,MASONRY,12,72,,SPACE HEATERS,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,407,SPACE HEATERS,15.056647057385598
1824049069,WAREHOUSE,,1257033.5,93,24000,AVERAGE,REINFORCED CONCRETE,58,67,,WARMED AND COOLED AIR,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,1,406,WARMED AND COOLED AIR,14.044265137973028
1824049070,WAREHOUSE,,1333637.625,74.59999847,21900,AVERAGE,MASONRY,41,66,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,1,406,SPACE HEATERS,14.103420823128118
1824049074,LIGHT MANUFACTURING/OFFICE,100,145468.7969,6.400000095,39900,AVERAGE,MASONRY,38,65,,SPACE HEATERS,1,INDUSTRIAL LIGHT MANUFACTURING (494),Rect or Slight Irreg,Yes,1,494,SPACE HEATERS,11.887716888299542
1824049109,"Warehouse, Distribution",72,1096646.25,56.79999924,35579,AVERAGE,MASONRY,19,20,,SPACE HEATERS,1,"WAREHOUSE, DISTRIBUTION (407)",Long Rect or Irreg,Yes,1,407,SPACE HEATERS,13.90776721687887
1825049039,APARTMENT,98,685888.1875,91.69999695,40505,AVERAGE/GOOD,WOOD FRAME,6,10,Yes,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Very Irreg,Yes,5,352,ELECTRIC WALL,13.438469901440879
1825049044,Apartment,100,4249212,51.79999924,182378,AVERAGE/GOOD,WOOD FRAME,4,4,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,ELECTRIC WALL,15.262244111945007
1825049055,GROUP HOME-psychiatric,49,1361427.75,138.1000061,21118,AVERAGE,WOOD FRAME,28,30,,FORCED AIR UNIT,1,GROUP CARE HOME (424),Rect or Slight Irreg,No,3,424,FORCED AIR UNIT,14.124044523217073
1825049072,BROOKS OFFICE HEADQUARTERS,98,4489661,110.5999985,206126,GOOD/EXCELLENT,REINFORCED CONCRETE,5,5,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,5,344,COMPLETE HVAC,15.3172877557545
1825049147,THE PARKVIEW OFFICE BUILDING,,11521702,291.8999939,280252,GOOD,STRUCTURAL STEEL,17,17,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,3,344,COMPLETE HVAC,16.259742945374644
1862400360,IMPERIAL CROWN MANOR APT,78,961491.3125,85,35512,AVERAGE,WOOD FRAME,22,40,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,No,4,300,ELECTRIC WALL,13.776240808608739
1865400030,NURSING HOME,3,12148720,561.0999756,34636,AVERAGE/GOOD,MASONRY,34,52,,HOT WATER,1,CONVALESCENT HOSPITAL (313),Rect or Slight Irreg,Yes,2,313,HOT WATER,16.312734372406915
1868903240,CHURCH,82,605186.3125,54.5,25521,GOOD,MASONRY,32,88,,STEAM,1,CHURCH (309),Rect or Slight Irreg,Yes,2,309,STEAM,13.313291644150166
1925049005,APARTMENT BUILDINGS,76,4103027.5,98.90000153,185403,AVERAGE,WOOD FRAME,9,30,Yes,ELECTRIC WALL,8,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,ELECTRIC WALL,15.22723567381473
1926049012,HOLIDAY INN EXPRESS,89,3611538,130.6999969,51390,AVERAGE,WOOD FRAME,13,17,Yes,FORCED AIR UNIT,1,"HOTEL, LIMITED (332)",Rect or Slight Irreg,Yes,4,332,FORCED AIR UNIT,15.099644278361474
1926049016,4 STORY MIXED USE BLDG,,1791865.75,91.5,95353,AVERAGE/GOOD,WOOD FRAME,6,11,Yes,HEAT PUMP,1,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,Yes,4,459,HEAT PUMP,14.398767953416003
1926049025,BROADVIEW THOMAS ELEMENTARY SCHOOL,88,3894584.5,59.09999847,131013,GOOD,MASONRY,41,55,,WARMED AND COOLED AIR,1,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,Yes,2,365,WARMED AND COOLED AIR,15.175097556372132
1926049033,WAREHOUSE RETAIL,72,8773058,234.5,131387,AVERAGE,MASONRY,21,21,,FORCED AIR UNIT,1,WAREHOUSE DISCOUNT STORE (458),Rect or Slight Irreg,Yes,1,458,FORCED AIR UNIT,15.987195992282102
1926049045,EXTRASPACE STORAGE,38,784364.5,33.5,94400,GOOD,MASONRY,18,19,Yes,COMPLETE HVAC,1,"MINI WAREHOUSE, HI-RISE (525)",Rect or Slight Irreg,Yes,3,525,COMPLETE HVAC,13.572629114758502
1926049082,STERLING MANOR,82,682632.3125,69.30000305,30940,AVERAGE,WOOD FRAME,22,42,No,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,ELECTRIC WALL,13.433711651720829
1926049133,140-Unit Apts,86,7539963.5,95.19999695,186870,AVERAGE/GOOD,WOOD FRAME,6,11,Yes,ELECTRIC WALL,2,APARTMENT (300),Rect or Slight Irreg,Yes,6,300,ELECTRIC WALL,15.835727899123615
1926049180,STORAGE WAREHOUSE,,1965182.25,224.6000061,20236,AVERAGE,WOOD FRAME,43,57,,FORCED AIR UNIT,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,No,1,406,FORCED AIR UNIT,14.491095547076263
1926049190,OFFICE & WAREHOUSE,62,2050600.75,132.1999969,39815,AVERAGE,MASONRY,28,67,,HEAT PUMP,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,2,407,HEAT PUMP,14.533643356964673
1926049218,OFFICE BUILDING,,2280352.5,280.2000122,25557,AVERAGE,REINFORCED CONCRETE,38,48,Yes,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,4,344,HEAT PUMP,14.63984059424362
1926049230,WAREHOUSE - DISCOUNT STORE,56,13424079,246.1999969,144776,AVERAGE,MASONRY,23,34,,FORCED AIR UNIT,1,WAREHOUSE DISCOUNT STORE (458),Rect or Slight Irreg,Yes,1,458,FORCED AIR UNIT,16.41256059265393
1926049286,OFFICES & MAINTENANCE GARAGE,,3076813.25,187.8999939,26994,AVERAGE,WOOD FRAME,60,60,,HOT WATER,1,"GARAGE, SERVICE REPAIR (528)",Rect or Slight Irreg,Yes,2,528,HOT WATER,14.939404960229636
1926049290,"WAREHOUSE, DISTRIBUTION",73,1485945.875,97,48112,AVERAGE,MASONRY,28,46,,SPACE HEATERS,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,407,SPACE HEATERS,14.211562080312513
1926049293,OFFICE WAREHOUSE,,1208029.25,141,20909,AVERAGE/GOOD,MASONRY,9,9,,HEAT PUMP,1,"WAREHOUSE, DISTRIBUTION (407)",Long Rect or Irreg,Yes,1,407,HEAT PUMP,14.004500870759912
1926049335,OFFICE/RETAIL,27,1772188.5,211.8000031,42793,AVERAGE,REINFORCED CONCRETE,17,17,Yes,FORCED AIR UNIT,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,2,344,FORCED AIR UNIT,14.387725781464704
1926049371,TWO DISCOUNT STORES (BIG BOX RETAIL),79,17225444,302,114000,AVERAGE,MASONRY,33,51,,WARMED AND COOLED AIR,1,DISCOUNT STORE (319),Rect or Slight Irreg,Yes,1,319,WARMED AND COOLED AIR,16.66189815101945
1926049389,SEA HOUSING AUTHORITY APT BLDG,51,1866802.375,98.80000305,59301,AVERAGE,WOOD FRAME,20,35,No,ELECTRIC WALL,2,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,ELECTRIC WALL,14.439737565287544
1926049423,DISCOUNT STORE (BIG BOX),43,1689372.625,159.8000031,26115,GOOD,MASONRY,20,20,,PACKAGE UNIT,1,DISCOUNT STORE (319),Rect or Slight Irreg,Yes,1,319,PACKAGE UNIT,14.339867790166505
1926049424,Supermarket,78,8663691,454.2000122,50083,AVERAGE,MASONRY,21,21,,HEAT PUMP,1,SUPERMARKET (446),Rect or Slight Irreg,Yes,1,446,HEAT PUMP,15.974651402207014
1928300405,CHURCH,78,1149140.25,63.79999924,26033,AVERAGE,WOOD FRAME,53,69,,HOT WATER,1,CHURCH (309),Rect or Slight Irreg,No,1,309,HOT WATER,13.954524612045038
1928300940,Mixed Use Commercial / Apts.,,1827424.125,70.90000153,51326,AVERAGE/GOOD,WOOD FRAME,8,19,Yes,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,4,352,ELECTRIC WALL,14.418417951276304
1929300390,NURSING HOME,73,5400049.5,225.3999939,46539,AVERAGE,WOOD FRAME,38,48,Yes,ELECTRIC,1,CONVALESCENT HOSPITAL (313),Rect or Slight Irreg,No,2,313,ELECTRIC,15.501918678159155
1931300585,OFFICE,95,534703.6875,78.30000305,21436,AVERAGE,WOOD FRAME,38,60,,FORCED AIR UNIT,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,2,344,FORCED AIR UNIT,13.189468017303541
1952200066,FOUR SEASONS,55,935396.6875,92.69999695,31682,AVERAGE,WOOD FRAME,26,52,Yes,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Long Rect or Irreg,No,4,352,ELECTRIC WALL,13.748725983001885
1953000000,Library & Apartments,89,521030.5938,68.90000153,20000,AVERAGE/GOOD,WOOD FRAME,7,16,Yes,ELECTRIC,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,3,352,ELECTRIC,13.163564040316658
1959700023,office,99,361542.0938,81.40000153,21183,AVERAGE,MASONRY,28,61,,ELECTRIC,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,2,344,ELECTRIC,12.798133755849134
1959701270,Mixed Use,67,1241023.75,64.09999847,54721,AVERAGE,WOOD FRAME,12,22,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,ELECTRIC WALL,14.031447201795721
1959701330,Apartment mixed use,84,3568237,102.3000031,165325,AVERAGE/GOOD,WOOD FRAME,6,10,,ELECTRIC,1,MIXED RETAIL W/RES. UNITS (459),Very Irreg,No,6,459,ELECTRIC,15.087582194242893
1959701480,Apartment,77,1427974.625,68.19999695,37885,AVERAGE,WOOD FRAME,23,90,Yes,HOT WATER,1,APARTMENT (300),Very Irreg,No,4,300,HOT WATER,14.171767652115943
1959702235,KILLARNEY APTS,52,612158.1875,80.5,24367,AVERAGE/GOOD,WOOD FRAME,24,92,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,HOT WATER,13.324746004402407
1959703130,Eastlake Gardens APARTMENT & RETAIL,,1287040.625,143.3000031,45580,GOOD,WOOD FRAME,3,21,Yes,FORCED AIR UNIT,1,APARTMENT (300),Rect or Slight Irreg,Yes,3,300,FORCED AIR UNIT,14.067856051736644
1959703145,Union Bay Lofts - Mixed Use Apt,,1176032.125,183.3000031,35746,AVERAGE/GOOD,PREFAB STEEL,6,10,Yes,COMPLETE HVAC,1,MIXED RETAIL W/RES. UNITS (459),Very Irreg,Yes,6,459,COMPLETE HVAC,13.977656724244472
1959703275,Rowing Club,,630250.125,67,20233,GOOD,MASONRY,20,20,,PACKAGE UNIT,1,OFFICE BUILDING (344),Rect or Slight Irreg,,1,344,PACKAGE UNIT,13.353872043384142
1972200610,22 UNIT APT,86,508014.5938,71.09999847,22448,AVERAGE/GOOD,WOOD FRAME,13,30,No,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,ELECTRIC WALL,13.138265454100734
1972201725,NORTHBRIDGE,72,1275236.125,85.30000305,62681,AVERAGE,WOOD FRAME,9,24,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,ELECTRIC WALL,14.058641915506419
1972202600,MIXED USE APT,,3629065.75,112.3000031,130983,GOOD,WOOD FRAME,13,28,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,7,300,ELECTRIC WALL,15.104485803969906
1972202635,OFFICE BLDG,94,1126157.25,99.59999847,31417,GOOD,REINFORCED CONCRETE,13,33,Yes,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,3,344,WARMED AND COOLED AIR,13.934321731572318
1972202680,OFFICE RETAIL,,2227638.25,146,33840,AVERAGE/GOOD,MASONRY,18,91,Yes,COMPLETE HVAC,1,RETAIL STORE (353),Rect or Slight Irreg,Yes,2,353,COMPLETE HVAC,14.616452501496541
1972202855,44 UNIT APT + SFR,98,930368.5,56.20000076,36660,AVERAGE,WOOD FRAME,34,111,Yes,HOT WATER,2,APARTMENT (300),Rect or Slight Irreg,No,4,300,HOT WATER,13.743336023207604
1972202940,Retail/Office,79,1291405.25,164.3999939,33740,AVERAGE,REINFORCED CONCRETE,17,17,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,,5,344,COMPLETE HVAC,14.071241524521668
1972203060,comml and 23 apt rooms,98,1021796.625,89.59999847,20516,AVERAGE,MASONRY,17,107,,HOT WATER,1,MIXED USE RETAIL (830),Rect or Slight Irreg,No,2,830,HOT WATER,13.837073032878665
1972203160,FREMONT BUILDING,88,1215156.25,123.5,27480,AVERAGE,MASONRY,43,112,,HOT WATER,1,MIXED USE RETAIL (830),Rect or Slight Irreg,No,3,830,HOT WATER,14.010383227311454
1972203170,Mixed use bldg. with 130 apts.,93,3588718.75,94.19999695,225145,AVERAGE/GOOD,WOOD FRAME,7,16,Yes,ELECTRIC,1,MIXED RETAIL W/RES. UNITS (459),Very Irreg,Yes,6,459,ELECTRIC,15.09330580261217
1972203220,OFFICE BLDG,73,4991360.5,162.3999939,124071,AVERAGE/GOOD,REINFORCED CONCRETE,30,30,Yes,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,3,344,HEAT PUMP,15.42321907585731
1972203870,DISTRIBUTION WAREHOUSE,5,1934224.25,138.3999939,26532,AVERAGE,MASONRY,28,34,,SPACE HEATERS,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,407,SPACE HEATERS,14.475216899669604
1972203920,STUDIO & OFFICE&APT,,576405.125,69.80000305,22388,AVERAGE,MASONRY,13,37,,HEAT PUMP,1,MIXED USE OFFICE (840),Rect or Slight Irreg,No,2,840,HEAT PUMP,13.26456603446284
1972204025,warehouse,,3050455.25,234.6999969,30730,AVERAGE,MASONRY,18,49,,HOT WATER,1,INDUSTRIAL LIGHT MANUFACTURING (494),Rect or Slight Irreg,No,1,494,HOT WATER,14.930801399740169
1972204350,OFFICE & SCHOOL,47,2173143.75,181.3000031,35600,AVERAGE,REINFORCED CONCRETE,11,32,Yes,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,2,344,HEAT PUMP,14.591685409834737
1972206040,MIX - USE COMMERCIAL/APT,,1739693.25,129.6000061,42705,AVERAGE,MASONRY,14,27,No,ELECTRIC,1,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,ELECTRIC,14.369219362545808
1972206360,OFFICE,43,2303732.75,180.5,40067,AVERAGE/GOOD,REINFORCED CONCRETE,32,32,,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,3,344,HEAT PUMP,14.650041300146492
1972206390,OFFICE,67,1074989,127.8000031,26419,AVERAGE/GOOD,REINFORCED CONCRETE,29,29,,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,3,344,HEAT PUMP,13.887820986933407
1972206435,Office Building,54,1469556.25,158.3000031,25262,AVERAGE/GOOD,REINFORCED CONCRETE,33,39,,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,3,344,WARMED AND COOLED AIR,14.200471042434474
1972206507,OFFICE BUILDING,84,3897738,136,90000,AVERAGE,REINFORCED CONCRETE,18,18,Yes,PACKAGE UNIT,1,OFFICE BUILDING (344),Very Irreg,Yes,4,344,PACKAGE UNIT,15.175906942834809
1972206512,Office Building,,4877959,390.7000122,53103,AVERAGE,REINFORCED CONCRETE,13,22,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,3,344,COMPLETE HVAC,15.40023745263863
1972206514,OFFICE BUILDING,33,5481549,223,77174,AVERAGE,REINFORCED CONCRETE,18,18,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,2,344,COMPLETE HVAC,15.516898283215767
1972206650,OFFICE-BLDG #3,57,1619177.125,155.3000031,34106,AVERAGE,REINFORCED CONCRETE,33,38,,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,3,344,HEAT PUMP,14.297428630628653
1972206650,OFFICE-BLDG #3,29,2313978.75,210.3000031,34545,AVERAGE,REINFORCED CONCRETE,33,38,,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,3,344,HEAT PUMP,14.654479003461095
1973200353,THE WATERSIDE OFFICE BLDG,70,5413418,273.1000061,96041,AVERAGE,REINFORCED CONCRETE,17,17,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,3,344,COMPLETE HVAC,15.504391244301475
