SiteEnergyUse,SourceEUI,PropertyGFATotal,BuildinQuality,ConstructioClass,EffYear,YearBuilt,Elevators,HeatinSystem,NumbeOBuildingAggregated,PredominanUse,Shape,Sprinklers,NumberofFloors,PredominantUseCode,HeatinSystemCode
1106701,77.80000305,21376,AVERAGE,WOOD FRAME,28,90,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,HOT WATER
1913558.375,87.09999847,28940,AVERAGE/GOOD,WOOD FRAME,24,90,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,3,352,HOT WATER
971990.3125,59.90000153,32691,AVERAGE/GOOD,MASONRY,16,96,,HOT WATER,1,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,Yes,3,365,HOT WATER
1134195.5,87.40000153,40758,AVERAGE,MASONRY,22,41,No,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,No,6,300,ELECTRIC WALL
1086678.125,61,24227,AVERAGE/GOOD,MASONRY,30,55,,HOT WATER,1,CHURCH (309),Rect or Slight Irreg,No,2,309,HOT WATER
739869.6875,67.69999695,24540,LOW/AVERAGE,WOOD FRAME,33,108,No,HOT WATER,1,APARTMENT (300),Rect or Slight Irreg,No,4,300,HOT WATER
2248134.5,83,37944,AVERAGE,MASONRY,28,88,Yes,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,HOT WATER
623107.6875,30.299999239999998,28546,AVERAGE,WOOD FRAME,42,101,No,HOT WATER,1,APARTMENT (300),Rect or Slight Irreg,No,4,300,HOT WATER
651293.3125,51.70000076,27000,AVERAGE,MASONRY,38,62,,COMPLETE HVAC,1,INDUSTRIAL LIGHT MANUFACTURING (494),Rect or Slight Irreg,Yes,1,494,COMPLETE HVAC
613684.125,70.59999847,27296,AVERAGE,WOOD FRAME,22,42,Yes,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,ELECTRIC WALL
1618535.75,96.69999695,84147,AVERAGE,WOOD FRAME,10,10,Yes,ELECTRIC,1,MIXED RETAIL W/RES. UNITS (459),Very Irreg,Yes,4,459,ELECTRIC
3590731,49,233528,GOOD,REINFORCED CONCRETE,2,4,Yes,FORCED AIR UNIT,1,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,Yes,5,459,FORCED AIR UNIT
2531163,137.8999939,83175,AVERAGE/GOOD,WOOD FRAME,6,11,Yes,ELECTRIC,1,MIXED USE RETAIL (830),Rect or Slight Irreg,Yes,4,830,ELECTRIC
6357632,407.3999939,56521,AVERAGE,REINFORCED CONCRETE,33,77,,STEAM,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,4,344,STEAM
2128963.5,52.90000153,58735,GOOD,MASONRY,19,90,Yes,STEAM,1,APARTMENT (300),Rect or Slight Irreg,Yes,5,300,STEAM
1639849.25,73.09999847,34455,AVERAGE/GOOD,MASONRY,19,90,Yes,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Long Rect or Irreg,No,3,352,HOT WATER
595978,75,24939,AVERAGE/GOOD,MASONRY,23,94,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,HOT WATER
6522551.5,323.8999939,63225,AVERAGE,MASONRY,8,10,,COMPLETE HVAC,1,WAREHOUSE DISCOUNT STORE (458),Long Rect or Irreg,Yes,1,458,COMPLETE HVAC
243518.2031,22.5,26680,AVERAGE,MASONRY,48,63,,NO HEAT,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,407,NO HEAT
1788148,107.4000015,31521,AVERAGE,MASONRY,40,65,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,No,1,406,SPACE HEATERS
3459543,61,179413,AVERAGE,MASONRY,12,72,,SPACE HEATERS,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,407,SPACE HEATERS
1257033.5,93,24000,AVERAGE,REINFORCED CONCRETE,58,67,,WARMED AND COOLED AIR,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,1,406,WARMED AND COOLED AIR
1333637.625,74.59999847,21900,AVERAGE,MASONRY,41,66,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,1,406,SPACE HEATERS
145468.7969,6.400000095,39900,AVERAGE,MASONRY,38,65,,SPACE HEATERS,1,INDUSTRIAL LIGHT MANUFACTURING (494),Rect or Slight Irreg,Yes,1,494,SPACE HEATERS
1096646.25,56.79999924,35579,AVERAGE,MASONRY,19,20,,SPACE HEATERS,1,"WAREHOUSE, DISTRIBUTION (407)",Long Rect or Irreg,Yes,1,407,SPACE HEATERS
685888.1875,91.69999695,40505,AVERAGE/GOOD,WOOD FRAME,6,10,Yes,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Very Irreg,Yes,5,352,ELECTRIC WALL
4249212,51.79999924,182378,AVERAGE/GOOD,WOOD FRAME,4,4,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,ELECTRIC WALL
1361427.75,138.1000061,21118,AVERAGE,WOOD FRAME,28,30,,FORCED AIR UNIT,1,GROUP CARE HOME (424),Rect or Slight Irreg,No,3,424,FORCED AIR UNIT
4489661,110.5999985,206126,GOOD/EXCELLENT,REINFORCED CONCRETE,5,5,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,5,344,COMPLETE HVAC
11521702,291.8999939,280252,GOOD,STRUCTURAL STEEL,17,17,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,3,344,COMPLETE HVAC
961491.3125,85,35512,AVERAGE,WOOD FRAME,22,40,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,No,4,300,ELECTRIC WALL
12148720,561.0999756,34636,AVERAGE/GOOD,MASONRY,34,52,,HOT WATER,1,CONVALESCENT HOSPITAL (313),Rect or Slight Irreg,Yes,2,313,HOT WATER
605186.3125,54.5,25521,GOOD,MASONRY,32,88,,STEAM,1,CHURCH (309),Rect or Slight Irreg,Yes,2,309,STEAM
4103027.5,98.90000153,185403,AVERAGE,WOOD FRAME,9,30,Yes,ELECTRIC WALL,8,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,ELECTRIC WALL
3611538,130.6999969,51390,AVERAGE,WOOD FRAME,13,17,Yes,FORCED AIR UNIT,1,"HOTEL, LIMITED (332)",Rect or Slight Irreg,Yes,4,332,FORCED AIR UNIT
1791865.75,91.5,95353,AVERAGE/GOOD,WOOD FRAME,6,11,Yes,HEAT PUMP,1,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,Yes,4,459,HEAT PUMP
3894584.5,59.09999847,131013,GOOD,MASONRY,41,55,,WARMED AND COOLED AIR,1,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,Yes,2,365,WARMED AND COOLED AIR
8773058,234.5,131387,AVERAGE,MASONRY,21,21,,FORCED AIR UNIT,1,WAREHOUSE DISCOUNT STORE (458),Rect or Slight Irreg,Yes,1,458,FORCED AIR UNIT
784364.5,33.5,94400,GOOD,MASONRY,18,19,Yes,COMPLETE HVAC,1,"MINI WAREHOUSE, HI-RISE (525)",Rect or Slight Irreg,Yes,3,525,COMPLETE HVAC
682632.3125,69.30000305,30940,AVERAGE,WOOD FRAME,22,42,No,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,ELECTRIC WALL
7539963.5,95.19999695,186870,AVERAGE/GOOD,WOOD FRAME,6,11,Yes,ELECTRIC WALL,2,APARTMENT (300),Rect or Slight Irreg,Yes,6,300,ELECTRIC WALL
1965182.25,224.6000061,20236,AVERAGE,WOOD FRAME,43,57,,FORCED AIR UNIT,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,No,1,406,FORCED AIR UNIT
2050600.75,132.1999969,39815,AVERAGE,MASONRY,28,67,,HEAT PUMP,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,2,407,HEAT PUMP
2280352.5,280.2000122,25557,AVERAGE,REINFORCED CONCRETE,38,48,Yes,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,4,344,HEAT PUMP
13424079,246.1999969,144776,AVERAGE,MASONRY,23,34,,FORCED AIR UNIT,1,WAREHOUSE DISCOUNT STORE (458),Rect or Slight Irreg,Yes,1,458,FORCED AIR UNIT
3076813.25,187.8999939,26994,AVERAGE,WOOD FRAME,60,60,,HOT WATER,1,"GARAGE, SERVICE REPAIR (528)",Rect or Slight Irreg,Yes,2,528,HOT WATER
1485945.875,97,48112,AVERAGE,MASONRY,28,46,,SPACE HEATERS,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,407,SPACE HEATERS
1208029.25,141,20909,AVERAGE/GOOD,MASONRY,9,9,,HEAT PUMP,1,"WAREHOUSE, DISTRIBUTION (407)",Long Rect or Irreg,Yes,1,407,HEAT PUMP
1772188.5,211.8000031,42793,AVERAGE,REINFORCED CONCRETE,17,17,Yes,FORCED AIR UNIT,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,2,344,FORCED AIR UNIT
17225444,302,114000,AVERAGE,MASONRY,33,51,,WARMED AND COOLED AIR,1,DISCOUNT STORE (319),Rect or Slight Irreg,Yes,1,319,WARMED AND COOLED AIR
1866802.375,98.80000305,59301,AVERAGE,WOOD FRAME,20,35,No,ELECTRIC WALL,2,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,ELECTRIC WALL
1689372.625,159.8000031,26115,GOOD,MASONRY,20,20,,PACKAGE UNIT,1,DISCOUNT STORE (319),Rect or Slight Irreg,Yes,1,319,PACKAGE UNIT
8663691,454.2000122,50083,AVERAGE,MASONRY,21,21,,HEAT PUMP,1,SUPERMARKET (446),Rect or Slight Irreg,Yes,1,446,HEAT PUMP
1149140.25,63.79999924,26033,AVERAGE,WOOD FRAME,53,69,,HOT WATER,1,CHURCH (309),Rect or Slight Irreg,No,1,309,HOT WATER
1827424.125,70.90000153,51326,AVERAGE/GOOD,WOOD FRAME,8,19,Yes,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,4,352,ELECTRIC WALL
5400049.5,225.3999939,46539,AVERAGE,WOOD FRAME,38,48,Yes,ELECTRIC,1,CONVALESCENT HOSPITAL (313),Rect or Slight Irreg,No,2,313,ELECTRIC
534703.6875,78.30000305,21436,AVERAGE,WOOD FRAME,38,60,,FORCED AIR UNIT,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,2,344,FORCED AIR UNIT
935396.6875,92.69999695,31682,AVERAGE,WOOD FRAME,26,52,Yes,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Long Rect or Irreg,No,4,352,ELECTRIC WALL
521030.5938,68.90000153,20000,AVERAGE/GOOD,WOOD FRAME,7,16,Yes,ELECTRIC,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,3,352,ELECTRIC
361542.0938,81.40000153,21183,AVERAGE,MASONRY,28,61,,ELECTRIC,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,2,344,ELECTRIC
1241023.75,64.09999847,54721,AVERAGE,WOOD FRAME,12,22,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,ELECTRIC WALL
3568237,102.3000031,165325,AVERAGE/GOOD,WOOD FRAME,6,10,,ELECTRIC,1,MIXED RETAIL W/RES. UNITS (459),Very Irreg,No,6,459,ELECTRIC
1427974.625,68.19999695,37885,AVERAGE,WOOD FRAME,23,90,Yes,HOT WATER,1,APARTMENT (300),Very Irreg,No,4,300,HOT WATER
612158.1875,80.5,24367,AVERAGE/GOOD,WOOD FRAME,24,92,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,HOT WATER
1287040.625,143.3000031,45580,GOOD,WOOD FRAME,3,21,Yes,FORCED AIR UNIT,1,APARTMENT (300),Rect or Slight Irreg,Yes,3,300,FORCED AIR UNIT
1176032.125,183.3000031,35746,AVERAGE/GOOD,PREFAB STEEL,6,10,Yes,COMPLETE HVAC,1,MIXED RETAIL W/RES. UNITS (459),Very Irreg,Yes,6,459,COMPLETE HVAC
630250.125,67,20233,GOOD,MASONRY,20,20,,PACKAGE UNIT,1,OFFICE BUILDING (344),Rect or Slight Irreg,,1,344,PACKAGE UNIT
508014.5938,71.09999847,22448,AVERAGE/GOOD,WOOD FRAME,13,30,No,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,ELECTRIC WALL
1275236.125,85.30000305,62681,AVERAGE,WOOD FRAME,9,24,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,ELECTRIC WALL
3629065.75,112.3000031,130983,GOOD,WOOD FRAME,13,28,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,7,300,ELECTRIC WALL
1126157.25,99.59999847,31417,GOOD,REINFORCED CONCRETE,13,33,Yes,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,3,344,WARMED AND COOLED AIR
2227638.25,146,33840,AVERAGE/GOOD,MASONRY,18,91,Yes,COMPLETE HVAC,1,RETAIL STORE (353),Rect or Slight Irreg,Yes,2,353,COMPLETE HVAC
930368.5,56.20000076,36660,AVERAGE,WOOD FRAME,34,111,Yes,HOT WATER,2,APARTMENT (300),Rect or Slight Irreg,No,4,300,HOT WATER
1291405.25,164.3999939,33740,AVERAGE,REINFORCED CONCRETE,17,17,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,,5,344,COMPLETE HVAC
1021796.625,89.59999847,20516,AVERAGE,MASONRY,17,107,,HOT WATER,1,MIXED USE RETAIL (830),Rect or Slight Irreg,No,2,830,HOT WATER
1215156.25,123.5,27480,AVERAGE,MASONRY,43,112,,HOT WATER,1,MIXED USE RETAIL (830),Rect or Slight Irreg,No,3,830,HOT WATER
3588718.75,94.19999695,225145,AVERAGE/GOOD,WOOD FRAME,7,16,Yes,ELECTRIC,1,MIXED RETAIL W/RES. UNITS (459),Very Irreg,Yes,6,459,ELECTRIC
4991360.5,162.3999939,124071,AVERAGE/GOOD,REINFORCED CONCRETE,30,30,Yes,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,3,344,HEAT PUMP
1934224.25,138.3999939,26532,AVERAGE,MASONRY,28,34,,SPACE HEATERS,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,407,SPACE HEATERS
576405.125,69.80000305,22388,AVERAGE,MASONRY,13,37,,HEAT PUMP,1,MIXED USE OFFICE (840),Rect or Slight Irreg,No,2,840,HEAT PUMP
3050455.25,234.6999969,30730,AVERAGE,MASONRY,18,49,,HOT WATER,1,INDUSTRIAL LIGHT MANUFACTURING (494),Rect or Slight Irreg,No,1,494,HOT WATER
2173143.75,181.3000031,35600,AVERAGE,REINFORCED CONCRETE,11,32,Yes,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,2,344,HEAT PUMP
1739693.25,129.6000061,42705,AVERAGE,MASONRY,14,27,No,ELECTRIC,1,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,ELECTRIC
2303732.75,180.5,40067,AVERAGE/GOOD,REINFORCED CONCRETE,32,32,,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,3,344,HEAT PUMP
1074989,127.8000031,26419,AVERAGE/GOOD,REINFORCED CONCRETE,29,29,,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,3,344,HEAT PUMP
1469556.25,158.3000031,25262,AVERAGE/GOOD,REINFORCED CONCRETE,33,39,,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,3,344,WARMED AND COOLED AIR
3897738,136,90000,AVERAGE,REINFORCED CONCRETE,18,18,Yes,PACKAGE UNIT,1,OFFICE BUILDING (344),Very Irreg,Yes,4,344,PACKAGE UNIT
4877959,390.7000122,53103,AVERAGE,REINFORCED CONCRETE,13,22,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,3,344,COMPLETE HVAC
5481549,223,77174,AVERAGE,REINFORCED CONCRETE,18,18,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,2,344,COMPLETE HVAC
1619177.125,155.3000031,34106,AVERAGE,REINFORCED CONCRETE,33,38,,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,3,344,HEAT PUMP
2313978.75,210.3000031,34545,AVERAGE,REINFORCED CONCRETE,33,38,,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,3,344,HEAT PUMP
5413418,273.1000061,96041,AVERAGE,REINFORCED CONCRETE,17,17,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,3,344,COMPLETE HVAC
11325513,211.3000031,280957,GOOD,REINFORCED CONCRETE,18,19,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Long Rect or Irreg,Yes,3,344,COMPLETE HVAC
8651835,187.3999939,243334,AVERAGE/GOOD,REINFORCED CONCRETE,18,19,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Long Rect or Irreg,Yes,4,344,COMPLETE HVAC
8873485,249.6999969,202623,GOOD,REINFORCED CONCRETE,8,10,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Long Rect or Irreg,Yes,4,344,COMPLETE HVAC
1169948.875,82.09999847,34680,AVERAGE,MASONRY,58,118,Yes,STEAM,1,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,Yes,4,459,STEAM
16246106,192.6999969,216571,GOOD,REINFORCED CONCRETE,18,89,Yes,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,27,344,WARMED AND COOLED AIR
19036416,363.6000061,189175,AVERAGE,REINFORCED CONCRETE,28,97,Yes,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,13,344,WARMED AND COOLED AIR
5587347,107.5999985,75058,EXCELLENT,MASONRY,50,50,,STEAM,1,CHURCH (309),Rect or Slight Irreg,Yes,3,309,STEAM
6423556.5,111.0999985,135918,AVERAGE/GOOD,REINFORCED CONCRETE,28,60,Yes,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,10,344,WARMED AND COOLED AIR
5252131,252.1000061,79957,AVERAGE,REINFORCED CONCRETE,23,104,Yes,HEAT PUMP,1,MIXED USE OFFICE (840),Rect or Slight Irreg,Yes,4,840,HEAT PUMP
3318151.5,132.3999939,67560,LOW/AVERAGE,REINFORCED CONCRETE,35,95,Yes,HOT WATER,1,APARTMENT (300),Rect or Slight Irreg,Yes,10,300,HOT WATER
7711757.5,171.5,127268,AVERAGE,REINFORCED CONCRETE,39,97,Yes,HOT WATER,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,4,344,HOT WATER
2100982.75,390.1000061,36504,AVERAGE,REINFORCED CONCRETE,23,103,Yes,COMPLETE HVAC,1,RETAIL STORE (353),Rect or Slight Irreg,Yes,1,353,COMPLETE HVAC
18848780,139,500000,AVERAGE/GOOD,STRUCTURAL STEEL,20,35,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,29,344,COMPLETE HVAC
2998208.25,267.5,35200,AVERAGE,MASONRY,32,111,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,6,344,COMPLETE HVAC
2478025.25,105.6999969,97720,AVERAGE,REINFORCED CONCRETE,34,92,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,6,344,COMPLETE HVAC
6029020,159.8000031,132326,GOOD,REINFORCED CONCRETE,31,92,Yes,STEAM WITHOUT BOILER,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,10,344,STEAM WITHOUT BOILER
7335905.5,275.8999939,109830,EXCELLENT,STRUCTURAL STEEL,32,34,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,6,344,COMPLETE HVAC
1538750.625,87.30000305,35840,AVERAGE,REINFORCED CONCRETE,33,111,Yes,HOT WATER,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,5,344,HOT WATER
1333432.125,180.1999969,25920,AVERAGE,REINFORCED CONCRETE,43,77,,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,2,344,WARMED AND COOLED AIR
2883139,349,30525,GOOD,REINFORCED CONCRETE,43,90,Yes,HOT WATER,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,4,344,HOT WATER
2586116,173.6999969,60660,LOW COST,REINFORCED CONCRETE,48,98,Yes,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,8,344,HEAT PUMP
6366084.5,125.4000015,137350,AVERAGE,REINFORCED CONCRETE,28,89,Yes,STEAM WITHOUT BOILER,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,14,344,STEAM WITHOUT BOILER
5446624,92.30000305,151039,AVERAGE,REINFORCED CONCRETE,23,89,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,15,344,COMPLETE HVAC
1247362,48.79999924,57428,AVERAGE,REINFORCED CONCRETE,48,98,Yes,HEAT PUMP,1,RETAIL STORE (353),Rect or Slight Irreg,Yes,2,353,HEAT PUMP
5071974,398.7000122,59400,AVERAGE,REINFORCED CONCRETE,44,108,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,8,344,COMPLETE HVAC
52226204,217.1000061,755000,GOOD,STRUCTURAL STEEL,18,33,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,30,344,COMPLETE HVAC
1502069.875,81.5,42078,AVERAGE/GOOD,REINFORCED CONCRETE,25,108,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,7,300,ELECTRIC WALL
3518459.5,154.5,63540,AVERAGE,MASONRY,32,112,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,4,344,COMPLETE HVAC
6962073,179.6000061,130893,AVERAGE,REINFORCED CONCRETE,28,91,Yes,HOT WATER,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,10,344,HOT WATER
7802205.5,333,77555,GOOD,REINFORCED CONCRETE,34,94,,COMPLETE HVAC,1,MIXED USE OFFICE (840),Rect or Slight Irreg,Yes,3,840,COMPLETE HVAC
1160087.875,84.59999847,27250,LOW COST,MASONRY,48,111,,STEAM WITHOUT BOILER,1,"HOTEL, LIMITED (332)",Rect or Slight Irreg,Yes,3,332,STEAM WITHOUT BOILER
1257774.625,195.1000061,25920,AVERAGE,MASONRY,58,102,,STEAM,1,RETAIL STORE (353),Rect or Slight Irreg,Yes,2,353,STEAM
3009463.75,118.1999969,79920,GOOD,MASONRY,32,108,Yes,WARMED AND COOLED AIR,1,MIXED USE OFFICE (840),Rect or Slight Irreg,Yes,5,840,WARMED AND COOLED AIR
2071670.25,140.1999969,47686,AVERAGE,REINFORCED CONCRETE,31,99,Yes,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,4,344,WARMED AND COOLED AIR
5437110.5,290.8999939,49280,AVERAGE,MASONRY,48,118,,HOT WATER,1,RETAIL STORE (353),Rect or Slight Irreg,Yes,2,353,HOT WATER
1926134.875,199.1000061,42765,GOOD,WOOD FRAME,13,29,Yes,ELECTRIC WALL,1,APARTMENT (300),Very Irreg,No,8,300,ELECTRIC WALL
2018011.875,103.5,31578,AVERAGE/GOOD,MASONRY,21,103,Yes,ELECTRIC,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,4,352,ELECTRIC
3778355,267.5,45500,AVERAGE,MASONRY,33,76,Yes,FORCED AIR UNIT,1,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,No,4,459,FORCED AIR UNIT
6901554,549.2000122,25380,AVERAGE,REINFORCED CONCRETE,31,106,,SPACE HEATERS,1,MIXED USE RETAIL (830),Rect or Slight Irreg,No,2,830,SPACE HEATERS
2827772.75,190.1000061,40715,AVERAGE,REINFORCED CONCRETE,39,103,,STEAM WITHOUT BOILER,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,6,344,STEAM WITHOUT BOILER
8303666.5,300.6000061,78920,GOOD,MASONRY,29,89,,WARMED AND COOLED AIR,1,RETAIL STORE (353),Rect or Slight Irreg,No,4,353,WARMED AND COOLED AIR
4841347.5,158.6000061,98634,GOOD,MASONRY,23,88,Yes,PACKAGE UNIT,1,"HOTEL, FULL SERVICE (841)",Approx Square,Yes,20,841,PACKAGE UNIT
9671619,407.7000122,147852,GOOD/EXCELLENT,STRUCTURAL STEEL,18,22,Yes,WARMED AND COOLED AIR,1,MIXED USE RETAIL (830),Rect or Slight Irreg,Yes,6,830,WARMED AND COOLED AIR
7273155.5,189.3999939,267335,GOOD/EXCELLENT,REINFORCED CONCRETE,18,22,,COMPLETE HVAC,1,MIXED USE RETAIL (830),Rect or Slight Irreg,Yes,4,830,COMPLETE HVAC
19397324,177.6000061,456304,GOOD,STRUCTURAL STEEL,27,47,,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,21,344,HEAT PUMP
4757299.5,141.8000031,115857,GOOD/EXCELLENT,STRUCTURAL STEEL,18,32,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,12,344,COMPLETE HVAC
2406996.75,85.59999847,51578,AVERAGE,MASONRY,29,109,Yes,HOT WATER,1,APARTMENT (300),Rect or Slight Irreg,Yes,6,300,HOT WATER
5348309,215.8999939,71150,GOOD,STRUCTURAL STEEL,20,33,Yes,HEAT PUMP,1,"HOTEL, FULL SERVICE (841)",Long Rect or Irreg,Yes,7,841,HEAT PUMP
4549892,199.1000061,87500,GOOD,REINFORCED CONCRETE,19,19,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Very Irreg,Yes,4,344,COMPLETE HVAC
2015117.25,97.59999847,97517,AVERAGE,WOOD FRAME,14,24,Yes,ELECTRIC WALL,1,APARTMENT (300),Very Irreg,Yes,6,300,ELECTRIC WALL
13329024,217.1000061,374405,GOOD/EXCELLENT,REINFORCED CONCRETE,18,20,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Very Irreg,Yes,11,344,COMPLETE HVAC
1717130.875,129.8000031,82065,AVERAGE,WOOD FRAME,28,28,,PACKAGE UNIT,1,MIXED USE OFFICE (840),Rect or Slight Irreg,Yes,4,840,PACKAGE UNIT
2458760.5,151.5,70850,AVERAGE,WOOD FRAME,24,117,Yes,ELECTRIC WALL,2,APARTMENT (300),Rect or Slight Irreg,No,6,300,ELECTRIC WALL
1862176.875,161.6999969,36160,AVERAGE,MASONRY,43,108,Yes,HOT WATER,1,MIXED USE OFFICE (840),Rect or Slight Irreg,No,4,840,HOT WATER
2122581.25,153.6000061,39528,GOOD,MASONRY,43,104,,HOT WATER,1,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,Yes,5,459,HOT WATER
